layout,noise,from_n,to_n,paired_bounded_scenarios,rounder_count,less_round_count,covered_to_failure_count,failure_to_covered_count
local_walk,truncnorm,2,3,2160,1882,214,11,0
local_walk,truncnorm,3,4,2450,1913,346,14,3
local_walk,truncnorm,4,6,2492,1976,308,42,1
local_walk,truncnorm,6,8,2500,1731,338,62,5
local_walk,truncnorm,8,12,2500,1718,352,144,15
local_walk,truncnorm,12,20,2500,1628,439,329,52
local_walk,truncnorm,20,32,2500,1460,517,463,134
local_walk,uniform,2,3,2155,1712,399,14,0
local_walk,uniform,3,4,2452,1753,549,21,4
local_walk,uniform,4,6,2492,1820,511,51,9
local_walk,uniform,6,8,2500,1608,500,70,12
local_walk,uniform,8,12,2500,1642,545,189,31
local_walk,uniform,12,20,2500,1604,663,313,92
local_walk,uniform,20,32,2500,1442,769,475,192
uniform_area,truncnorm,2,3,2455,1690,554,264,10
uniform_area,truncnorm,3,4,2499,1413,603,303,94
uniform_area,truncnorm,4,6,2500,1519,678,391,196
uniform_area,truncnorm,6,8,2500,1275,680,331,206
uniform_area,truncnorm,8,12,2500,1385,782,460,294
uniform_area,truncnorm,12,20,2500,1393,864,461,369
uniform_area,truncnorm,20,32,2500,1384,840,428,406
uniform_area,uniform,2,3,2454,1538,799,352,9
uniform_area,uniform,3,4,2498,1388,747,383,131
uniform_area,uniform,4,6,2500,1384,888,463,227
uniform_area,uniform,6,8,2500,1220,815,383,278
uniform_area,uniform,8,12,2500,1246,962,451,344
uniform_area,uniform,12,20,2500,1334,980,504,384
uniform_area,uniform,20,32,2500,1295,968,461,455
