layout,noise,vertices_count,total,bounded,unbounded,degenerate,failures,failure_rate,source_outside_count,median_vertices,mean_circularity,median_circularity,median_ratio,p95_ratio,max_ratio,failure_over_1pct,polygon_inside_arena_count
local_walk,truncnorm,3,66,66,0,0,18,0.2727272727272727,0,3.0,0.4043766672636141,0.4870044034274911,1.0,1.0499925583667025,1.0789785121681965,0.24242424242424243,66
local_walk,truncnorm,4,5138,5138,0,0,178,0.03464383028415726,0,4.0,0.264407419464741,0.18383812742225958,1.0,1.0000000000000002,1.1032167122553942,0.015375632541845076,4209
local_walk,truncnorm,5,6120,6120,0,0,484,0.07908496732026143,0,5.0,0.3738693401094817,0.3325423627778159,1.0,1.0036891497948188,1.118116144453926,0.035784313725490194,5576
local_walk,truncnorm,6,4743,4743,0,0,527,0.1111111111111111,0,6.0,0.4809247673874762,0.4855966180339439,1.0,1.008336953074842,1.089463360636996,0.0451191229179844,4513
local_walk,truncnorm,7,2284,2284,0,0,364,0.159369527145359,0,7.0,0.5690126497175643,0.6038441484622713,1.0,1.015396833345625,1.1151553557637215,0.06786339754816112,2193
local_walk,truncnorm,8,900,900,0,0,188,0.2088888888888889,0,8.0,0.6363662296047462,0.6782375301603749,1.0,1.0177521540912704,1.0860668220427612,0.07333333333333333,882
local_walk,truncnorm,9,278,278,0,0,62,0.22302158273381295,0,9.0,0.6942597055287252,0.738023076095929,1.0,1.0087611947281319,1.0543925863141648,0.04316546762589928,268
local_walk,truncnorm,10,46,46,0,0,16,0.34782608695652173,0,10.0,0.7405026286154132,0.7818235341194285,1.0,1.0169202628162635,1.0322414333507413,0.15217391304347827,44
local_walk,truncnorm,11,27,27,0,0,9,0.3333333333333333,0,11.0,0.7748693408612476,0.8331775684592456,1.0000000000000002,1.0199799636721036,1.0429148835802267,0.14814814814814814,27
local_walk,uniform,3,1168,1168,0,0,193,0.16523972602739725,8,3.0,0.2818118877395628,0.25231174504138476,1.0,1.042158106535843,1.1398746097347234,0.10702054794520548,1125
local_walk,uniform,4,8543,8543,0,0,581,0.06800889617230481,18,4.0,0.2802933326089243,0.22817654267889967,1.0,1.002501280944978,1.1276911076200788,0.03394592063677865,7530
local_walk,uniform,5,6370,6370,0,0,614,0.09638932496075353,3,5.0,0.36853817398612154,0.33391819289806135,1.0,1.0052613268327282,1.1128853926462148,0.03924646781789639,5948
local_walk,uniform,6,2689,2689,0,0,327,0.1216065451840833,4,6.0,0.44547393850899913,0.4342534423134657,1.0,1.0099372629414458,1.1087938422209165,0.049460766084046114,2569
local_walk,uniform,7,680,680,0,0,109,0.16029411764705884,2,7.0,0.5176683742699473,0.5496981857186289,1.0,1.0171795159622177,1.1011068919497853,0.0838235294117647,662
local_walk,uniform,8,118,118,0,0,23,0.19491525423728814,0,8.0,0.5776019587579748,0.6029556489803514,1.0,1.0072585426282525,1.04165091842597,0.05084745762711865,115
local_walk,uniform,9,23,23,0,0,1,0.043478260869565216,0,9.0,0.6324783155226655,0.6713996588711544,1.0,1.0000000000000002,1.0011452730279402,0.0,23
local_walk,uniform,10,7,7,0,0,0,0.0,0,10.0,0.5929526024413692,0.6375453096004897,1.0,1.0000000000000002,1.0000000000000002,0.0,7
local_walk,uniform,11,1,1,0,0,0,0.0,0,11.0,0.5876890703735675,0.5876890703735675,1.0,1.0,1.0,0.0,1
uniform_area,truncnorm,3,90,90,0,0,50,0.5555555555555556,0,3.0,0.4120244433263705,0.5107409707411655,1.0040626237479275,1.0627012196724246,1.0985282566115386,0.37777777777777777,87
uniform_area,truncnorm,4,6739,6739,0,0,864,0.12820893307612405,0,4.0,0.5238408884333898,0.5695664142758381,1.0,1.0096152792553441,1.1424071207272022,0.049265469654251375,6481
uniform_area,truncnorm,5,5579,5579,0,0,1715,0.3074027603513174,1,5.0,0.6294396113397094,0.6617676513489391,1.0,1.0227766389313158,1.1136154464856463,0.10718766804086755,5479
uniform_area,truncnorm,6,4616,4616,0,0,1610,0.34878682842287695,1,6.0,0.6883862102942555,0.7155620216674002,1.0,1.0232635726906218,1.0997712006786788,0.115684575389948,4560
uniform_area,truncnorm,7,2021,2021,0,0,790,0.3908955962394854,1,7.0,0.7311967969515597,0.757578502075066,1.0000000000000002,1.0246931976756766,1.113060054450503,0.12073231073725878,1997
uniform_area,truncnorm,8,674,674,0,0,289,0.4287833827893175,0,8.0,0.7614721924594802,0.7821053527509159,1.0000000000000002,1.0235921651705608,1.1089216300485967,0.12759643916913946,668
uniform_area,truncnorm,9,197,197,0,0,86,0.4365482233502538,0,9.0,0.789345393944552,0.8122802883229575,1.0000000000000002,1.027035804725602,1.0801199363851774,0.14213197969543148,195
uniform_area,truncnorm,10,36,36,0,0,14,0.3888888888888889,0,10.0,0.7959862918083281,0.7942608071217804,1.0,1.0210949021750673,1.0764630905403245,0.19444444444444445,36
uniform_area,truncnorm,11,1,1,0,0,0,0.0,0,11.0,0.8191251290759671,0.8191251290759671,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,1
uniform_area,truncnorm,12,1,1,0,0,1,1.0,0,12.0,0.741401239904638,0.741401239904638,1.0015677417136712,1.0015677417136712,1.0015677417136712,0.0,1
uniform_area,uniform,3,1279,1279,0,0,607,0.47458952306489444,23,3.0,0.44236134547454187,0.4756503717767905,1.0000000000000002,1.0679266933394413,1.140552617149656,0.29632525410476934,1270
uniform_area,uniform,4,8853,8853,0,0,2116,0.23901502315599232,68,4.0,0.5181128453451692,0.5562604531404461,1.0,1.0317030658004398,1.142963021264401,0.11747430249632893,8578
uniform_area,uniform,5,6005,6005,0,0,2127,0.35420482930890923,50,5.0,0.6083348425489693,0.6395077802776777,1.0,1.034643383887646,1.131037657840958,0.1553705245628643,5935
uniform_area,uniform,6,2876,2876,0,0,1043,0.36265646731571627,30,6.0,0.6626838211965164,0.6884348302938206,1.0000000000000002,1.0302176081939098,1.126636796155542,0.12934631432545202,2847
uniform_area,uniform,7,773,773,0,0,329,0.425614489003881,12,7.0,0.7002733891474432,0.7275644888367038,1.0000000000000002,1.030708140419092,1.086019881446451,0.1332470892626132,767
uniform_area,uniform,8,146,146,0,0,51,0.3493150684931507,1,8.0,0.7255338396164736,0.7420534304457476,1.0000000000000002,1.0281656834032562,1.0639522669290413,0.1506849315068493,146
uniform_area,uniform,9,19,19,0,0,12,0.631578947368421,0,9.0,0.7777624718148991,0.7989009248053217,1.0017255290262779,1.0387594625724585,1.0414315644815209,0.21052631578947367,19
uniform_area,uniform,10,1,1,0,0,1,1.0,0,10.0,0.7455917982723524,0.7455917982723524,1.0175452132440728,1.0175452132440728,1.0175452132440728,1.0,1
