layout,noise,n,vertices_count,total,bounded,unbounded,degenerate,failures,failure_rate,source_outside_count,median_vertices,mean_circularity,median_circularity,median_ratio,p95_ratio,max_ratio,failure_over_1pct,polygon_inside_arena_count
local_walk,truncnorm,2,4,2160,2160,0,0,0,0.0,0,4.0,0.1279325109406179,0.0946350108998962,1.0,1.0000000000000002,1.0000000000000002,0.0,1473
local_walk,truncnorm,3,3,4,4,0,0,0,0.0,0,3.0,0.19752044289593257,0.09707648713332653,1.0,1.0,1.0,0.0,4
local_walk,truncnorm,3,4,705,705,0,0,3,0.00425531914893617,0,4.0,0.18558705831484748,0.14126096975820285,1.0,1.0000000000000002,1.0155374288856232,0.0014184397163120568,571
local_walk,truncnorm,3,5,1493,1493,0,0,6,0.004018754186202277,0,5.0,0.19369792956204152,0.16209356412389506,1.0,1.0000000000000002,1.029817828287912,0.0013395847287340924,1210
local_walk,truncnorm,3,6,248,248,0,0,2,0.008064516129032258,0,6.0,0.30246540355943563,0.2518121902908086,1.0,1.0000000000000002,1.0101051170659399,0.004032258064516129,210
local_walk,truncnorm,4,3,7,7,0,0,0,0.0,0,3.0,0.22951091639474688,0.12081414417581927,1.0,1.0000000000000002,1.0000000000000002,0.0,7
local_walk,truncnorm,4,4,566,566,0,0,5,0.0088339222614841,0,4.0,0.2599025215984457,0.2128200016632431,1.0,1.0000000000000002,1.0390615314686875,0.0035335689045936395,514
local_walk,truncnorm,4,5,1038,1038,0,0,8,0.007707129094412331,0,5.0,0.2448286458683281,0.2155476950159338,1.0,1.0000000000000002,1.0309464151312882,0.0038535645472061657,896
local_walk,truncnorm,4,6,775,775,0,0,7,0.00903225806451613,0,6.0,0.2780639812590225,0.241690295164197,1.0,1.0000000000000002,1.035619675323184,0.005161290322580645,681
local_walk,truncnorm,4,7,93,93,0,0,2,0.021505376344086023,0,7.0,0.36350309684910914,0.3444642586561222,1.0,1.0000000000000002,1.010105117065941,0.010752688172043012,82
local_walk,truncnorm,4,8,13,13,0,0,0,0.0,0,8.0,0.2890270332301273,0.2591402917959376,1.0,1.0000000000000002,1.0000000000000002,0.0,12
local_walk,truncnorm,6,3,8,8,0,0,0,0.0,0,3.0,0.23912414195588486,0.14564916574116293,1.0,1.0000000000000002,1.0000000000000002,0.0,8
local_walk,truncnorm,6,4,410,410,0,0,10,0.024390243902439025,0,4.0,0.3422348713517576,0.3129456080456129,1.0,1.0000000000000002,1.0423816317504475,0.007317073170731708,383
local_walk,truncnorm,6,5,911,911,0,0,25,0.027442371020856202,0,5.0,0.34339538176563356,0.3137301379790383,1.0,1.0000000000000002,1.0573144991280994,0.009879253567508232,854
local_walk,truncnorm,6,6,767,767,0,0,19,0.024771838331160364,0,6.0,0.3751976545253792,0.35339003259249374,1.0,1.0000000000000002,1.0488649113802255,0.007822685788787484,717
local_walk,truncnorm,6,7,339,339,0,0,7,0.02064896755162242,0,7.0,0.396060464166708,0.3646028413889712,1.0,1.0000000000000002,1.0215538376220519,0.011799410029498525,309
