scenario,x_m,y_m,worst_mec_radius_m,worst_area_m2,worst_diameter_m,within_5pct,robust_le20
center,61.80339887,-190.21130326,256.0456930835338,11863.63867591078,512.0913861670676,0,0
center,61.80339887,190.21130326,256.0456930838753,11863.638675910777,512.0913861670678,0,0
center,92.70509831,-285.31695489,190.55418204086547,8987.968986186228,381.10836408173094,0,0
center,92.70509831,285.31695489,190.55418204086547,8987.968986186233,381.10836408173094,0,0
center,100.0,-173.20508076,262.78248206525086,11989.437369143603,525.5649641305016,0,0
center,100.0,173.20508076,262.7824820658216,11989.437369143596,525.5649641305016,0,0
center,123.60679775,-380.42260652,151.55832693296446,7228.435546860006,303.1166538659289,0,0
center,123.60679775,380.42260652,151.55832693296446,7228.435546859999,303.1166538659289,0,0
center,133.82612127,-148.6289651,279.9176699675256,12594.575617053617,559.8353399350511,0,0
center,133.82612127,148.6289651,279.91766996754257,12594.575617053613,559.835339935051,0,0
center,150.0,-259.80762114,193.02526872897414,8886.131294931074,386.0505374579483,0,0
center,150.0,259.80762114,193.02526872897437,8886.131294931069,386.0505374579485,0,0
center,154.50849719,-475.52825815,126.06766443751265,6080.658274254249,252.1353288750253,0,0
center,154.50849719,475.52825815,126.06766443751265,6080.658274254254,252.1353288750253,0,0
center,161.80339887,-117.55705046,311.97528388757405,13813.485681421993,623.950567775148,0,0
center,161.80339887,117.55705046,311.97528388807126,13813.485681421991,623.9505677751481,0,0
center,182.70909153,-81.34732862,368.2764304602559,16127.653118160744,736.5528609205116,0,0
center,182.70909153,81.34732862,368.27643046064674,16127.653118160742,736.5528609205116,0,0
center,195.62952015,-41.58233816,469.88489832403576,20712.74978346999,939.7697966480714,0,0
center,195.62952015,41.58233816,469.88489832403576,20712.749783469986,939.7697966480713,0,0
center,200.0,-346.41016151,150.85685624685965,6962.441148172407,301.7137124937191,0,0
center,200.0,0.0,650.1980415395715,29499.059728687716,1300.2636380389204,0,0
center,200.0,346.41016151,150.85685624685965,6962.441148172409,301.7137124937191,0,0
center,200.73918191,-222.94344764,204.2350925148613,9153.080381623802,408.4701850297226,0,0
center,200.73918191,222.94344764,204.23509251757037,9153.080381623804,408.4701850297228,0,0
center,242.70509831,-176.33557569,228.6754417699524,9952.331065481141,457.3508835399046,0,0
center,242.70509831,176.33557569,228.6754417699524,9952.331065481143,457.3508835399046,0,0
center,250.0,-433.01270189,123.03797675619774,5692.21540879287,246.07595351239547,0,0
center,250.0,433.01270189,123.03797675928571,5692.215408792874,246.07595351239502,0,0
