trial,policy,scenario,station_x_m,station_y_m,target_x_m,target_y_m,q_x_m,q_y_m,receive_radius_m,move_m,decision_time_ms,safe_certified,safe_margin_m,conditional_worst_mec_radius_m,conditional_worst_diameter_m,conditional_worst_area_m2,conservative_worst_mec_radius_m,detected,near,area_m2,diameter_m,mec_radius_m,contains_truth
0,minimax_mec,global_random,29.08900059877044,-721.632782512681,-253.20294154616545,-688.3861856439603,-867.0695466821252,-1165.3667772938811,1361.7052621429216,999.9999999945437,2682.319417,1,5.438323569251224e-09,55.82116325800529,111.6423265160104,2166.4087862307206,55.82116325800529,1,0,373.95602416771,50.477429754246664,25.238714877123332,1
0,analytic_far_range,global_random,29.08900059877044,-721.632782512681,-253.20294154616545,-688.3861856439603,-932.3541729003406,-996.6364627279797,1361.7052621429216,1000.0,0.0,1,-2.319211489520967e-11,58.943780691124935,117.88756137681091,1921.5047985161655,58.943780691124935,1,0,487.10879747971194,69.16297192292733,34.58148596146368,1
0,fixed_750_375,global_random,29.08900059877044,-721.632782512681,-253.20294154616545,-688.3861856439603,-759.329595681334,-1007.1518134715816,1361.7052621429216,838.525491562421,0.0,1,161.47450843755757,76.60215714473247,153.20431428946472,2752.6039340537973,76.60215714473247,1,0,325.9389743965585,47.43134419779076,23.715672098895393,1
1,minimax_mec,global_random,-951.4546308320278,-607.9598693087785,-1033.800070594186,275.22944373070067,-493.5639575578657,281.04864095286246,1113.1086637155702,999.9999999945438,3212.1405419999996,1,5.449805939861108e-09,55.83244725840892,111.66489451681784,2167.6931991088204,55.83244725840892,1,0,598.7929603187367,38.35933360997495,19.179666804987573,1
1,analytic_far_range,global_random,-951.4546308320278,-607.9598693087785,-1033.800070594186,275.22944373070067,-1426.5995313636372,271.9476960063556,1113.1086637155702,1000.0,0.0,1,-3.205968823749572e-11,58.96924113000098,117.93848224976662,1940.7841229103506,58.96924113000098,1,0,418.5275447224267,35.08208192034305,17.54104096017158,1
1,fixed_750_375,global_random,-951.4546308320278,-607.9598693087785,-1033.800070594186,275.22944373070067,-1399.6955129295357,100.70444587609666,1113.1086637155702,838.5254915624212,0.0,1,161.47450843754586,76.63207888005981,153.26415775369065,2803.866693786811,76.63207888005981,1,0,451.172797142528,39.87008906731883,19.935044533659436,1
2,minimax_mec,global_random,592.9850875188746,759.9216892474946,1138.6945475618686,1181.5343034083583,742.4778791704103,1622.0567745148533,1401.7423834403899,875.0000000027002,2287.586916,1,124.99999999730949,21.979911932526555,43.95982386505302,674.6208278406411,21.979911932526555,1,0,511.2089030663483,33.711429478979966,16.855714739490114,1
2,analytic_far_range,global_random,592.9850875188746,759.9216892474946,1138.6945475618686,1181.5343034083583,1096.2661964710915,1624.0444382663054,1401.7423834403899,1000.0,0.0,1,1.750777300912887e-11,43.551778780077015,87.10355756015402,533.3785626869649,43.551778780077015,1,0,441.58437502011657,40.74421287993491,20.372106439967457,1
2,fixed_750_375,global_random,592.9850875188746,759.9216892474946,1138.6945475618686,1181.5343034083583,964.1458566028168,1511.8290528854736,1401.7423834403899,838.5254915624208,0.0,1,161.4745084375952,31.61942383761605,63.23884767523201,408.49561027344316,31.61942383761605,1,0,323.9327161470428,29.604003951312,14.802001975656003,1
3,minimax_mec,global_random,-462.84825345955835,-933.6307955549262,-184.89003705386344,-632.4034424071284,507.7609252593477,-692.9695768766807,1027.3703641512266,999.9999999945438,3102.6620000000003,1,5.422066351457033e-09,55.834865765801965,111.66973153160393,2171.366203610727,55.834865765801965,1,0,442.36961862564203,44.16429498101603,22.082147490508056,1
3,analytic_far_range,global_random,-462.84825345955835,-933.6307955549262,-184.89003705386344,-632.4034424071284,-113.38374191806878,3.318805636657771,1027.3703641512266,1000.0000000000001,0.0,1,9.890754881780595e-12,58.965546525710565,117.931093051233,1938.2105095052684,58.965546525710565,1,0,534.0593755177979,58.84772798844723,29.423863994223616,1
3,fixed_750_375,global_random,-462.84825345955835,-933.6307955549262,-184.89003705386344,-632.4034424071284,-224.56253329648052,-129.67500350764976,1027.3703641512266,838.5254915624213,0.0,1,161.4745084375919,76.6277369885247,153.2554739770493,2802.648024820286,76.6277369885247,1,0,341.7271771983069,39.817602594154984,19.908801297077545,1
4,minimax_mec,global_random,801.387835131905,392.9099681322224,855.5991910254656,474.8482858732227,691.9133193391973,1336.581166374632,1261.2832064288261,950.0000000001646,2919.656708,1,49.99999999981367,24.774327722380963,49.54865544476193,814.9649930307642,24.774327722380963,1,0,143.22709805797786,46.8481804607146,23.424090230357326,1
4,analytic_far_range,global_random,801.387835131905,392.9099681322224,855.5991910254656,474.8482858732227,1005.2496438427481,1371.9096427742234,1261.2832064288261,1000.0000000000001,0.0,1,-2.3078428057488054e-11,43.5517788308256,87.10355766165115,533.4316758194473,43.5517788308256,1,0,240.26395683793817,83.13356940648953,41.566784703244814,1
4,fixed_750_375,global_random,801.387835131905,392.9099681322224,855.5991910254656,474.8482858732227,915.4453284972066,1223.6421079987526,1261.2832064288261,838.5254915624213,0.0,1,161.47450843755587,31.619423876018175,63.238847752036335,552.184756832663,31.619423876018175,1,0,172.0110349811148,59.0223420787259,29.51117103936295,1
5,minimax_mec,global_random,304.44619575073,95.90883696035095,236.86380717595762,395.8370572565205,-411.7802770577099,793.7767611676962,1275.3909858255229,999.9999999945439,3079.4221660000003,1,5.511765266419388e-09,55.82574521511349,111.65149040632306,2166.654259206698,55.82574521511349,1,0,392.7974099929561,49.15106032206282,24.575530161031434,1
5,analytic_far_range,global_random,304.44619575073,95.90883696035095,236.86380717595762,395.8370572565205,-274.3179823883994,911.4037947025422,1275.3909858255229,1000.0000000000001,0.0,1,5.729816621169448e-11,58.94951002465445,117.8990200493089,1921.7715238313758,58.94951002465445,1,0,506.9917804923316,66.75007674421424,33.375038372107156,1
