x_m,y_m,along_m,lateral_m,expected_area_m2,mc_se_m2,no_signal_probability,within_5pct,guaranteed_reception,certificate_margin_m
1650.0,1000.0,-250.0,-1000.0,32021.766,220.67726,0.81109905,False,False,-1028.4829283676863
1630.0,1000.0,-229.99999999999997,-1000.0,31549.596,226.91054,0.7987191,False,False,-1011.2563558556525
1610.0000000000002,1000.0,-210.00000000000003,-1000.0,31061.656,232.93698,0.7859204,False,False,-994.0815598315874
1590.0000000000002,1000.0,-190.00000000000003,-1000.0,30555.357,238.68419,0.77263224,False,False,-976.9598897172882
1570.0,1000.0,-170.0,-1000.0,30030.785,244.13092,0.7588567,False,False,-959.8927378409282
1550.0,1000.0,-150.0,-1000.0,29491.164,249.30492,0.74468076,False,False,-942.8815409417597
1530.0,1000.0,-130.0,-1000.0,28933.938,254.12534,0.7300335,False,False,-925.9277817256917
1510.0000000000002,1000.0,-110.0,-1000.0,28356.89,258.52048,0.71485484,False,False,-909.0329904727836
1490.0000000000002,1000.0,-90.0,-1000.0,27766.85,262.59216,0.6993314,False,False,-892.1987466976283
1470.0000000000002,1000.0,-70.0,-1000.0,27162.664,266.28317,0.68343085,False,False,-875.4266808635023
1450.0000000000002,1000.0,-50.0,-1000.0,26539.186,269.4461,0.66701114,False,False,-858.7184761510573
1430.0000000000002,1000.0,-30.0,-1000.0,25898.451,272.09125,0.650128,False,False,-842.0758702822002
1410.0000000000002,1000.0,-10.0,-1000.0,25242.555,274.23056,0.6328374,False,False,-825.5006573996466
1390.0000000000002,1000.0,10.0,-1000.0,24571.139,275.8199,0.61512905,False,False,-808.994690002477
1370.0000000000002,1000.0,30.0,-1000.0,23879.775,276.70532,0.59687984,False,False,-792.5598809378098
1350.0000000000002,1000.0,50.0,-1000.0,23167.385,276.81226,0.57806015,False,False,-776.1982054484776
1330.0000000000002,1000.0,70.0,-1000.0,22439.818,276.2591,0.55882955,False,False,-759.9117032763345
1310.0000000000002,1000.0,90.0,-1000.0,21698.38,275.0346,0.5392247,False,False,-743.7024808205168
1290.0000000000002,1000.0,110.0,-1000.0,20938.87,272.9565,0.5191278,False,False,-727.572713349641
1270.0,1000.0,130.0,-1000.0,20156.795,269.8391,0.4984129,False,False,-711.5246472665411
1250.0,1000.0,150.0,-1000.0,19351.555,265.58322,0.47706315,False,False,-695.5606024237159
1230.0,1000.0,170.0,-1000.0,18533.443,260.48288,0.45536458,False,False,-679.682974487177
1210.0,1000.0,190.00000000000003,-1000.0,17696.898,254.24802,0.43316042,False,False,-663.8942373458437
1190.0,1000.0,210.00000000000003,-1000.0,16845.592,246.94138,0.41055128,False,False,-648.1969455630367
1170.0000000000002,1000.0,229.99999999999997,-1000.0,15969.371,238.05083,0.38725126,False,False,-632.593736865954
1150.0,1000.0,250.0,-1000.0,15077.678,227.91873,0.36352703,False,False,-617.0873346682785
1130.0,1000.0,270.0,-1000.0,14172.568,216.5439,0.33943447,False,False,-601.6805506202458
1110.0,1000.0,290.0,-1000.0,13257.992,204.05646,0.31508455,False,False,-586.376287179618
1090.0,1000.0,310.0,-1000.0,12322.123,189.63542,0.29014304,False,False,-571.1775401960169
1070.0,1000.0,330.0,-1000.0,11353.942,172.68118,0.2643103,False,False,-556.0874015000003
1050.0,1000.0,350.0,-1000.0,10344.287,152.76306,0.23735109,False,False,-541.1090614870965
1030.0,1000.0,370.0,-1000.0,9296.19,131.69058,0.20935747,False,False,-526.2458116857374
1010.0000000000001,1000.0,390.0,-1000.0,8286.194,115.14578,0.1824324,False,False,-511.5010472966509
990.0000000000001,1000.0,410.0,-1000.0,7375.0674,102.85103,0.15823567,False,False,-496.87826968978646
970.0000000000001,1000.0,430.0,-1000.0,6592.6533,93.73683,0.13761708,False,False,-482.3810888432521
950.0000000000001,1000.0,450.0,-1000.0,5928.6084,85.55725,0.12027061,False,False,-468.0132257070173
930.0,1000.0000000000001,470.00000000000006,-1000.0,5354.4424,77.954185,0.10538056,False,False,-453.7785144723176
910.0000000000001,1000.0000000000001,490.0,-1000.0,4852.0586,70.95892,0.0924317,False,False,-439.6809047257504
890.0,1000.0000000000001,510.00000000000006,-1000.0,4416.0283,64.594696,0.08126479,False,False,-425.72446346500345
870.0000000000001,1000.0000000000001,530.0,-1000.0,4047.4785,58.772877,0.07190028,False,False,-411.913376951004
850.0000000000001,1000.0000000000001,550.0,-1000.0,3733.516,53.675217,0.06398246,False,False,-398.2519523690304
830.0000000000001,1000.0000000000001,570.0,-1000.0,3470.2002,49.404797,0.057398804,False,False,-384.7446192689905
810.0000000000001,1000.0000000000001,590.0,-1000.0,3255.166,46.05692,0.05208148,False,False,-371.39593075269045
790.0000000000001,1000.0000000000001,610.0,-1000.0,3081.166,43.805492,0.04783354,False,False,-358.2105643734532
770.0000000000001,1000.0000000000001,630.0,-1000.0,2944.4414,42.750298,0.04455208,False,False,-345.1933227110039
750.0000000000001,1000.0000000000001,650.0,-1000.0,2843.8298,42.881645,0.042204157,False,False,-332.34913358206813
730.0000000000001,1000.0000000000001,670.0,-1000.0,2773.4988,44.171192,0.0406334,False,False,-319.68304984473605
710.0000000000001,1000.0000000000001,690.0,-1000.0,2731.8247,46.47955,0.039795496,False,False,-307.2002487523174
690.0000000000001,1000.0000000000001,710.0,-1000.0,2720.5872,49.578606,0.039736506,False,False,-294.90603081024267
670.0000000000001,1000.0000000000001,730.0,-1000.0,2736.1782,53.322227,0.04036048,False,False,-282.8058180875832
650.0000000000001,1000.0000000000001,750.0,-1000.0,2776.7854,57.572628,0.04161916,False,False,-270.9051519330505
630.0000000000001,1000.0000000000001,770.0,-1000.0,2841.7754,62.20893,0.04349547,False,False,-262.1014222319853
610.0000000000002,1000.0000000000001,789.9999999999999,-1000.0,2931.0627,67.13188,0.04598702,False,False,-274.40182046323207
590.0000000000001,1000.0000000000001,810.0,-1000.0,3042.9731,72.28693,0.049049646,False,False,-286.89548915209116
570.0000000000001,1000.0000000000001,830.0,-1000.0,3176.4502,77.633064,0.052655675,False,False,-299.57685421063115
550.0000000000001,1000.0000000000001,850.0,-1000.0,3330.7188,83.13792,0.05678466,False,False,-312.4404748406688
530.0000000000002,1000.0000000000001,869.9999999999999,-1000.0,3503.9631,88.79744,0.061389126,False,False,-325.48104475318695
510.0,1000.0000000000001,890.0000000000001,-1000.0,3695.413,94.60205,0.06644918,False,False,-338.6933928274989
490.0000000000001,1000.0000000000001,910.0,-1000.0,3904.0664,100.550674,0.07193881,False,False,-352.0724832641185
470.0000000000001,1000.0000000000001,930.0,-1000.0,4128.904,106.64688,0.07783171,False,False,-365.61341528267076
450.0000000000001,1000.0000000000001,950.0,-1000.0,4369.6924,112.88602,0.08412212,False,False,-379.31142241337216
430.0000000000002,1000.0000000000001,969.9999999999999,-1000.0,4626.7856,119.25684,0.09081979,False,False,-393.1618714277247
410.0000000000001,1000.0000000000001,990.0,-1000.0,4900.4985,125.75008,0.097933464,False,False,-407.1602609511114
390.0000000000001,1000.0000000000001,1010.0,-1000.0,5191.1855,132.35596,0.105473004,False,False,-421.3022197970424
370.0000000000002,1000.0000000000001,1030.0,-1000.0,5498.091,139.08177,0.11341928,False,False,-435.58350505987636
350.0000000000002,1000.0000000000001,1050.0,-1000.0,5821.5317,145.91849,0.121781275,False,False,-449.9999999999999
330.0000000000002,1000.0000000000001,1070.0,-1000.0,6161.943,152.85501,0.1305711,False,False,-464.5477117526763
310.0000000000002,1000.0000000000001,1090.0,-1000.0,6519.176,159.88931,0.13978563,False,False,-479.2227688891218
290.0000000000002,1000.0000000000001,1110.0,-1000.0,6892.8037,167.02365,0.14941444,False,False,-494.02141885583416
270.0000000000002,1000.0000000000001,1130.0,-1000.0,7283.6304,174.24004,0.15947945,False,False,-508.94002531578445
250.00000000000023,1000.0000000000001,1150.0,-1000.0,7690.9146,181.48419,0.16996253,False,False,-523.9750654128171
230.00000000000023,1000.0000000000001,1170.0,-1000.0,8113.7188,188.7359,0.18084025,False,False,-539.1231269784754
210.00000000000023,1000.0000000000001,1190.0,-1000.0,8551.698,195.98232,0.1921047,False,False,-554.3809056984715
190.00000000000023,1000.0000000000001,1210.0,-1000.0,9003.302,203.19579,0.20371638,False,False,-569.7452022541747
170.00000000000023,1000.0000000000001,1230.0,-1000.0,9468.39,210.40883,0.2156723,False,False,-585.2129194527779
150.00000000000023,1000.0000000000001,1250.0,-1000.0,9942.825,217.37402,0.22786713,False,False,-600.7810593582122
130.00000000000023,1000.0000000000001,1270.0,-1000.0,10425.948,224.07797,0.24028476,False,False,-616.4467204334326
110.00000000000023,1000.0000000000001,1290.0,-1000.0,10918.424,230.56096,0.25294334,False,False,-632.2070947033653
