x_m,y_m,along_m,lateral_m,expected_area_m2,mc_se_m2,no_signal_probability,within_5pct,guaranteed_reception,certificate_margin_m
1250.0,-1000.0,-250.0,-1000.0,525.66895,3.362577,0.19649649,False,False,-145.86232161336838
1270.0,-1000.0,-229.99999999999997,-1000.0,502.12268,3.3115768,0.18048847,False,False,-136.39802010263057
1290.0,-1000.0,-210.00000000000003,-1000.0,479.38782,3.2572358,0.16510001,False,False,-127.20914656206489
1310.0,-1000.0,-190.00000000000003,-1000.0,457.4971,3.1996994,0.15034425,False,False,-118.30249042608266
1330.0,-1000.0,-170.0,-1000.0,436.48267,3.1391215,0.1362342,False,False,-109.68484719454419
1350.0,-1000.0,-150.0,-1000.0,416.37592,3.0756626,0.12278246,False,False,-101.36300105513746
1370.0,-1000.0,-130.0,-1000.0,397.2066,3.0094693,0.110001534,False,False,-93.34370629421868
1390.0,-1000.0,-110.0,-1000.0,379.00336,2.940691,0.09790348,False,False,-85.63366753853879
1410.0,-1000.0,-90.0,-1000.0,361.79352,2.8694742,0.08650001,False,False,-78.2395188886274
1430.0,-1000.0,-70.0,-1000.0,345.60382,2.7959886,0.0758024,False,False,-71.16780202411732
1450.0,-1000.0,-50.0,-1000.0,330.45987,2.7204156,0.06582145,False,False,-64.42494338172034
1470.0,-1000.0,-30.0,-1000.0,316.38568,2.6429322,0.05656743,False,False,-58.017230527546204
1490.0,-1000.0,-10.0,-1000.0,303.40417,2.563735,0.04805003,False,False,-51.95078786660873
1510.0,-1000.0,10.0,-1000.0,291.53925,2.4829214,0.040279806,False,False,-46.23155185321121
1530.0,-1000.0,30.0,-1000.0,280.82098,2.4002798,0.033271868,False,False,-40.86524588593055
1550.0,-1000.0,50.0,-1000.0,271.27475,2.3159466,0.027038831,False,False,-35.857355089579265
1570.0,-1000.0,70.0,-1000.0,262.90662,2.2309258,0.02158093,False,False,-31.213101203227843
1590.0,-1000.0,90.0,-1000.0,255.74812,2.1452117,0.016916204,False,False,-26.93741780752096
1610.0,-1000.0,110.0,-1000.0,249.8206,2.059378,0.013057241,False,False,-23.034926135554134
1630.0,-1000.0,130.0,-1000.0,245.12639,1.9742893,0.010003572,False,False,-19.50991171894878
1650.0,-1000.0,150.0,-1000.0,241.67159,1.8907491,0.0077579566,False,False,-16.3663021239826
1670.0,-1000.0,170.0,-1000.0,239.47192,1.8096621,0.0063308924,False,False,-14.34708063857515
1690.0,-1000.0,190.00000000000003,-1000.0,238.52689,1.7316444,0.0057203476,False,False,-17.8899744078434
1710.0,-1000.0,210.00000000000003,-1000.0,238.81332,1.6568671,0.0059075356,False,False,-21.812115802117503
1730.0,-1000.0,229.99999999999997,-1000.0,240.28265,1.5826806,0.0068496023,False,False,-26.10915598682767
1750.0,-1000.0,250.0,-1000.0,242.87329,1.5071905,0.0084963655,False,False,-30.7764064044152
1770.0,-1000.0,270.0,-1000.0,246.54944,1.4304063,0.010821078,False,False,-35.80886267689376
1790.0,-1000.0,290.0,-1000.0,251.32445,1.3535779,0.01383625,False,False,-41.201229350023404
1810.0,-1000.0,310.0,-1000.0,257.25354,1.2788509,0.0175882,False,False,-46.947945219818486
1830.0,-1000.0,330.0,-1000.0,264.38242,1.2088745,0.022117022,False,False,-53.04320899002046
1850.0,-1000.0,350.0,-1000.0,272.74384,1.1457258,0.027452987,False,False,-59.48100502085452
1870.0,-1000.0,370.0,-1000.0,282.38223,1.0902741,0.0336351,False,False,-66.25512894428797
1890.0,-1000.0,390.0,-1000.0,293.28333,1.0419238,0.040656388,False,False,-73.35921293852049
1910.0,-1000.0,410.0,-1000.0,305.37054,0.99987775,0.04846219,False,False,-80.7867504739313
1930.0,-1000.0,430.0,-1000.0,318.59143,0.9649866,0.05701822,False,False,-88.53112036358435
1950.0,-1000.0,450.0,-1000.0,332.9191,0.9379866,0.06631072,False,False,-96.58560997306547
1970.0,-1000.0,470.00000000000006,-1000.0,348.33154,0.91925013,0.07632991,False,False,-104.94343746637091
1990.0,-1000.0,490.0,-1000.0,364.80487,0.9089268,0.087065525,False,False,-113.59777298627888
2010.0,-1000.0,510.00000000000006,-1000.0,382.31427,0.9069404,0.09850676,False,False,-122.5417586887359
2030.0,-1000.0,530.0,-1000.0,400.83295,0.912949,0.11064227,False,False,-131.76852757089864
2050.0,-1000.0,550.0,-1000.0,420.33328,0.9264112,0.12346036,False,False,-141.2712210513328
2070.0,-1000.0,570.0,-1000.0,440.7867,0.94663817,0.13694888,False,False,-151.04300527825637
2090.0,-1000.0,590.0,-1000.0,462.1632,0.97284144,0.15109542,False,False,-161.077086157504
2110.0,-1000.0,610.0,-1000.0,484.4322,1.0042074,0.1658872,False,False,-171.36672310596228
2130.0,-1000.0,630.0,-1000.0,507.56293,1.039955,0.18131128,False,False,-181.90524154857695
2150.0,-1000.0,650.0,-1000.0,531.52405,1.0793571,0.1973545,False,False,-192.68604418765634
2170.0,-1000.0,670.0,-1000.0,556.28284,1.1217483,0.21400353,False,False,-203.70262108213421
2190.0,-1000.0,690.0,-1000.0,581.807,1.1665545,0.23124497,False,False,-214.94855858180267
2210.0,-1000.0,710.0,-1000.0,608.06366,1.2132798,0.24906528,False,False,-226.41754716735852
2230.0,-1000.0,730.0,-1000.0,635.0198,1.2615037,0.267451,False,False,-238.10338825156273
2250.0,-1000.0,750.0,-1000.0,662.64075,1.3108673,0.28638846,False,False,-249.99999999999994
2270.0,-1000.0,770.0,-1000.0,690.89185,1.3610725,0.30586433,False,False,-262.1014222319853
2290.0,-1000.0,789.9999999999999,-1000.0,719.73846,1.4118825,0.32586512,False,False,-274.40182046323207
2310.0,-1000.0,810.0,-1000.0,749.1459,1.4631132,0.3463776,False,False,-286.89548915209116
2330.0,-1000.0,830.0,-1000.0,779.0791,1.5146255,0.36738837,False,False,-299.57685421063115
2350.0,-1000.0,850.0,-1000.0,809.5043,1.5663158,0.38888443,False,False,-312.4404748406688
2370.0,-1000.0,869.9999999999999,-1000.0,840.3862,1.6181092,0.4108529,False,False,-325.48104475318695
2390.0,-1000.0,890.0000000000001,-1000.0,871.6902,1.6699595,0.43328106,False,False,-338.6933928274989
2410.0,-1000.0,910.0,-1000.0,903.3828,1.7218453,0.45615643,False,False,-352.0724832641185
2430.0,-1000.0,930.0,-1000.0,935.43024,1.7737654,0.4794665,False,False,-365.61341528267076
2450.0,-1000.0,950.0,-1000.0,967.79926,1.8257408,0.5031993,False,False,-379.31142241337216
2470.0,-1000.0,969.9999999999999,-1000.0,1000.4574,1.8778069,0.5273429,False,False,-393.1618714277247
2490.0,-1000.0,990.0,-1000.0,1033.3726,1.9300162,0.55188584,False,False,-407.1602609511114
2510.0,-1000.0,1010.0,-1000.0,1066.5125,1.9824296,0.5768165,False,False,-421.3022197970424
2530.0,-1000.0,1030.0,-1000.0,1099.8463,2.035117,0.6021239,False,False,-435.58350505987636
2550.0,-1000.0,1050.0,-1000.0,1133.3445,2.0881538,0.6277971,False,False,-449.9999999999999
2570.0,-1000.0,1070.0,-1000.0,1166.977,2.1416328,0.6538256,False,False,-464.5477117526763
2590.0,-1000.0,1090.0,-1000.0,1200.7141,2.19566,0.68019915,False,False,-479.2227688891218
2610.0,-1000.0,1110.0,-1000.0,1234.5256,2.250354,0.7069074,False,False,-494.02141885583416
2630.0,-1000.0,1130.0,-1000.0,1268.3717,2.3051133,0.7339332,False,False,-508.94002531578445
2650.0,-1000.0,1150.0,-1000.0,1302.0216,2.3482597,0.7611343,False,False,-523.9750654128171
2670.0,-1000.0,1170.0,-1000.0,1335.0338,2.36114,0.788219,False,False,-539.1231269784754
2690.0,-1000.0,1190.0,-1000.0,1366.9738,2.332469,0.8148794,False,False,-554.3809056984715
2710.0,-1000.0,1210.0,-1000.0,1397.593,2.2632782,0.8409128,False,False,-569.7452022541747
2730.0,-1000.0,1230.0,-1000.0,1426.6431,2.1561723,0.86610043,False,False,-585.2129194527779
2750.0,-1000.0,1250.0,-1000.0,1453.4095,1.9994779,0.88982534,False,False,-600.7810593582122
2770.0,-1000.0,1270.0,-1000.0,1477.8834,1.8050952,0.9119855,False,False,-616.4467204334326
2790.0,-1000.0,1290.0,-1000.0,1499.8438,1.5792984,0.9323019,False,False,-632.2070947033653
2810.0,-1000.0,1310.0,-1000.0,1519.0089,1.325779,0.95039684,False,False,-648.0594649465776
2830.0,-1000.0,1330.0,-1000.0,1535.3107,1.05272,0.9660337,False,False,-664.0012019226431
2850.0,-1000.0,1350.0,-1000.0,1548.8414,0.7716266,0.97912085,False,False,-680.0297616411444
2870.0,-1000.0,1370.0,-1000.0,1559.3743,0.4918655,0.9892339,False,False,-696.1426826773743
2890.0,-1000.0,1390.0,-1000.0,1566.9382,0.23394419,0.99635744,False,False,-712.337583538947
2910.0,-1000.0,1410.0,-1000.0,1570.6155,0.042032104,0.9996996,False,False,-728.6121600868137
2930.0,-1000.0,1430.0,-1000.0,1570.9557,0.0,1.0,False,False,-744.9641830135083
2950.0,-1000.0,1450.0,-1000.0,1570.9557,0.0,1.0,False,False,-761.3914953808537
2970.0,-1000.0,1470.0,-1000.0,1570.9557,0.0,1.0,False,False,-777.8920102188434
2990.0,-1000.0,1490.0,-1000.0,1570.9557,0.0,1.0,False,False,-794.4637081869336
3010.0,-1000.0,1510.0,-1000.0,1570.9557,0.0,1.0,False,False,-811.1046352985794
3030.0,-1000.0,1530.0,-1000.0,1570.9557,0.0,1.0,False,False,-827.8129007094793
3050.0,-1000.0,1550.0000000000002,-1000.0,1570.9557,0.0,1.0,False,False,-844.5866745696719
3070.0,-1000.0,1570.0,-1000.0,1570.9557,0.0,1.0,False,False,-861.4241859393575
3090.0,-1000.0,1590.0,-1000.0,1570.9557,0.0,1.0,False,False,-878.3237207680685
3110.0,-1000.0,1609.9999999999998,-1000.0,1570.9557,0.0,1.0,False,False,-895.2836199366045
3130.0,-1000.0,1630.0,-1000.0,1570.9557,0.0,1.0,False,False,-912.3022773609824
3150.0,-1000.0,1650.0000000000002,-1000.0,1570.9557,0.0,1.0,False,False,-929.3781381574738
3170.0,-1000.0,1670.0,-1000.0,1570.9557,0.0,1.0,False,False,-946.5096968677036
3190.0,-1000.0,1690.0,-1000.0,1570.9557,0.0,1.0,False,False,-963.6954957426572
3210.0,-1000.0,1709.9999999999998,-1000.0,1570.9557,0.0,1.0,False,False,-980.9341230843592
3230.0,-1000.0,1730.0,-1000.0,1570.9557,0.0,1.0,False,False,-998.2242116439286
3250.0,-1000.0,1750.0,-1000.0,1570.9557,0.0,1.0,False,False,-1015.5644370746377
1250.0,-980.0,-250.0,-980.0,475.79086,3.4590764,0.1601136,False,False,-128.35765576081414
1270.0,-980.0,-229.99999999999997,-980.0,451.63492,3.4058275,0.14383551,False,False,-118.74527901307368
1290.0,-980.0,-210.00000000000003,-980.0,428.3048,3.3491483,0.12818363,False,False,-109.41020335764007
1310.0,-980.0,-190.00000000000003,-980.0,405.83575,3.289174,0.11317211,False,False,-100.35948640162151
1330.0,-980.0,-170.0,-980.0,384.3053,3.22359,0.09884277,False,False,-91.60020122480755
1350.0,-980.0,-150.0,-980.0,363.84766,3.147637,0.08527579,False,False,-83.13941822557646
1370.0,-980.0,-130.0,-980.0,344.589,3.0582387,0.072548956,False,False,-74.98418561113729
1390.0,-980.0,-110.0,-980.0,326.6031,2.95561,0.060707554,False,False,-67.14150857046141
1410.0,-980.0,-90.0,-980.0,309.9488,2.8412616,0.04978876,False,False,-59.61832718863447
1430.0,-980.0,-70.0,-980.0,294.7854,2.714131,0.039901055,False,False,-52.42149318323991
1450.0,-980.0,-50.0,-980.0,281.17413,2.577254,0.031087507,False,False,-45.55774556647052
1470.0,-980.0,-30.0,-980.0,269.13403,2.4353776,0.023363084,False,False,-39.03368536060475
1490.0,-980.0,-10.0,-980.0,258.7169,2.2937694,0.016769055,False,False,-32.8557495187991
1510.0,-980.0,10.0,-980.0,249.88434,2.1594968,0.011281537,False,False,-27.030184227338104
1530.0,-980.0,30.0,-980.0,242.67514,2.0400124,0.0069351722,False,False,-21.5630177889371
1550.0,-980.0,50.0,-980.0,237.0193,1.9435167,0.0036838255,False,False,-16.46003330875734
1570.0,-980.0,70.0,-980.0,232.84587,1.876847,0.0014789277,False,False,-11.726741424798071
1590.0,-980.0,90.0,-980.0,230.22092,1.8406967,0.00036528247,False,False,-7.368353341537237
1610.0,-980.0,110.0,-980.0,228.76668,1.8211492,2.9055867e-05,False,False,-3.3897544394401735
1630.0,-980.0,130.0,-980.0,227.88779,1.8061334,0.0,False,True,0.20452125745223926
1650.0,-980.0,150.0,-980.0,227.22136,1.7926611,0.0,False,True,3.4103154687781245
1670.0,-980.0,170.0,-980.0,226.72926,1.7805539,0.0,False,True,5.364388331083325
1690.0,-980.0,190.00000000000003,-980.0,226.41174,1.769818,0.0,False,True,1.7515339355637094
1710.0,-980.0,210.00000000000003,-980.0,226.2714,1.760325,1.4984398e-06,False,False,-2.247474429344809
1730.0,-980.0,229.99999999999997,-980.0,226.36377,1.7489659,4.0184503e-05,False,False,-6.628034578811004
1750.0,-980.0,250.0,-980.0,226.8038,1.7302932,0.00019134925,False,False,-11.385188738692154
