x_m,y_m,along_m,lateral_m,expected_area_m2,mc_se_m2,no_signal_probability,within_5pct,guaranteed_reception,certificate_margin_m
269.6699141100895,1883.8834764831845,-250.0,-1000.0,32142.27,223.4403,0.8143716,False,False,-1028.4829283676863
255.52777848635856,1869.7413408594534,-229.99999999999997,-1000.0,31686.207,229.60503,0.8024112,False,False,-1011.2563558556525
241.3856428626276,1855.5992052357226,-210.00000000000003,-1000.0,31212.688,235.54335,0.7899859,False,False,-994.0815598315874
227.24350723889665,1841.4570696119918,-190.00000000000003,-1000.0,30715.5,241.12904,0.77692723,False,False,-976.9598897172882
213.1013716151657,1827.3149339882607,-170.0,-1000.0,30194.0,246.33055,0.76321757,False,False,-959.8927378409282
198.95923599143475,1813.1727983645296,-150.0,-1000.0,29656.133,251.25723,0.7490723,False,False,-942.8815409417597
184.8171003677038,1799.0306627407988,-130.0,-1000.0,29097.559,255.79684,0.73437315,False,False,-925.9277817256917
170.67496474397285,1784.888527117068,-110.0,-1000.0,28519.934,259.9491,0.7191649,False,False,-909.0329904727836
156.5328291202419,1770.746391493337,-90.0,-1000.0,27925.023,263.71146,0.70349455,False,False,-892.1987466976283
142.39069349651095,1756.6042558696058,-70.0,-1000.0,27312.086,267.03244,0.68734133,False,False,-875.4266808635023
128.24855787278,1742.462120245875,-50.0,-1000.0,26689.045,270.04565,0.67092234,False,False,-858.7184761510573
114.10642224904905,1728.3199846221441,-30.0,-1000.0,26049.857,272.57993,0.65407026,False,False,-842.0758702822002
99.9642866253181,1714.177848998413,-10.0,-1000.0,25393.621,274.57715,0.6367598,False,False,-825.5006573996466
85.82215100158703,1700.0357133746822,10.0,-1000.0,24716.668,275.90955,0.6188891,False,False,-808.994690002477
71.68001537785608,1685.8935777509514,30.0,-1000.0,24015.504,276.4407,0.60036147,False,False,-792.5598809378098
57.53787975412513,1671.7514421272203,50.0,-1000.0,23291.162,276.1481,0.58120525,False,False,-776.1982054484776
43.39574413039418,1657.6093065034893,70.0,-1000.0,22547.71,275.09262,0.56153196,False,False,-759.9117032763345
29.253608506663227,1643.4671708797584,90.0,-1000.0,21781.957,273.127,0.5412527,False,False,-743.7024808205168
15.111472882932276,1629.3250352560276,110.0,-1000.0,21000.982,270.39276,0.52056247,False,False,-727.572713349641
0.9693372592013247,1615.1828996322965,130.0,-1000.0,20202.51,266.76715,0.49939725,False,False,-711.5246472665411
