x_m,y_m,along_m,lateral_m,expected_area_m2,mc_se_m2,no_signal_probability,within_5pct,guaranteed_reception,certificate_margin_m
-250.0,-1000.0,-250.0,-1000.0,31989.424,223.76683,0.81034607,False,False,-1028.4829283676863
-229.99999999999997,-1000.0,-229.99999999999997,-1000.0,31507.898,229.64423,0.7977092,False,False,-1011.2563558556525
-210.00000000000003,-1000.0,-210.00000000000003,-1000.0,31005.852,235.25659,0.784526,False,False,-994.0815598315874
-190.00000000000003,-1000.0,-190.00000000000003,-1000.0,30486.54,240.62422,0.77088404,False,False,-976.9598897172882
-170.0,-1000.0,-170.0,-1000.0,29950.102,245.7244,0.7567873,False,False,-959.8927378409282
-150.0,-1000.0,-150.0,-1000.0,29398.732,250.5602,0.7422937,False,False,-942.8815409417597
-130.0,-1000.0,-130.0,-1000.0,28820.855,254.8803,0.7270874,False,False,-925.9277817256917
-110.0,-1000.0,-110.0,-1000.0,28223.477,258.7862,0.7113596,False,False,-909.0329904727836
-90.0,-1000.0,-90.0,-1000.0,27608.762,262.28125,0.69516885,False,False,-892.1987466976283
-70.0,-1000.0,-70.0,-1000.0,26981.438,265.42755,0.6786444,False,False,-875.4266808635023
-50.0,-1000.0,-50.0,-1000.0,26339.338,268.13907,0.66172576,False,False,-858.7184761510573
-30.0,-1000.0,-30.0,-1000.0,25686.055,270.4586,0.6445104,False,False,-842.0758702822002
-10.0,-1000.0,-10.0,-1000.0,25018.066,272.26706,0.62690043,False,False,-825.5006573996466
10.0,-1000.0,10.0,-1000.0,24331.8,273.42987,0.6087973,False,False,-808.994690002477
30.0,-1000.0,30.0,-1000.0,23626.453,273.88556,0.5901779,False,False,-792.5598809378098
50.0,-1000.0,50.0,-1000.0,22908.742,273.76492,0.5712269,False,False,-776.1982054484776
70.0,-1000.0,70.0,-1000.0,22167.53,272.7077,0.5516349,False,False,-759.9117032763345
90.0,-1000.0,90.0,-1000.0,21405.928,270.75323,0.53148746,False,False,-743.7024808205168
110.0,-1000.0,110.0,-1000.0,20629.426,268.00287,0.51093745,False,False,-727.572713349641
130.0,-1000.0,130.0,-1000.0,19837.047,264.3633,0.48995548,False,False,-711.5246472665411
150.0,-1000.0,150.0,-1000.0,19029.953,259.81076,0.46857423,False,False,-695.5606024237159
170.0,-1000.0,170.0,-1000.0,18211.152,254.37889,0.44687596,False,False,-679.682974487177
190.00000000000003,-1000.0,190.00000000000003,-1000.0,17370.586,247.59166,0.42457995,False,False,-663.8942373458437
210.00000000000003,-1000.0,210.00000000000003,-1000.0,16512.473,239.51338,0.40180027,False,False,-648.1969455630367
229.99999999999997,-1000.0,229.99999999999997,-1000.0,15644.2295,230.38507,0.37874627,False,False,-632.593736865954
250.0,-1000.0,250.0,-1000.0,14763.481,219.94926,0.35534674,False,False,-617.0873346682785
270.0,-1000.0,270.0,-1000.0,13867.605,207.99603,0.33152926,False,False,-601.6805506202458
290.0,-1000.0,290.0,-1000.0,12956.334,194.37126,0.30728665,False,False,-586.376287179618
310.0,-1000.0,310.0,-1000.0,12037.391,179.4611,0.28283614,False,False,-571.1775401960169
330.0,-1000.0,330.0,-1000.0,11117.694,163.72923,0.25836957,False,False,-556.0874015000003
350.0,-1000.0,350.0,-1000.0,10195.164,147.07869,0.23382968,False,False,-541.1090614870965
370.0,-1000.0,370.0,-1000.0,9257.018,129.35046,0.20886658,False,False,-526.2458116857374
390.0,-1000.0,390.0,-1000.0,8331.592,113.46312,0.18427522,False,False,-511.5010472966509
410.0,-1000.0,410.0,-1000.0,7476.208,102.121,0.16162553,False,False,-496.87826968978646
430.0,-1000.0,430.0,-1000.0,6720.8516,92.867935,0.14175197,False,False,-482.3810888432521
450.0,-1000.0,450.0,-1000.0,6054.4873,84.717384,0.124332905,False,False,-468.0132257070173
470.00000000000006,-1000.0,470.00000000000006,-1000.0,5469.152,77.36457,0.10912607,False,False,-453.7785144723176
490.0,-1000.0,490.0,-1000.0,4958.189,70.665,0.09593293,False,False,-439.6809047257504
510.00000000000006,-1000.0,510.00000000000006,-1000.0,4520.875,64.48925,0.08472019,False,False,-425.72446346500345
530.0,-1000.0,530.0,-1000.0,4146.8403,58.941406,0.07519609,False,False,-411.913376951004
550.0,-1000.0,550.0,-1000.0,3829.6753,54.109604,0.067179635,False,False,-398.2519523690304
570.0,-1000.0,570.0,-1000.0,3563.0881,50.14285,0.060496457,False,False,-384.7446192689905
590.0,-1000.0,590.0,-1000.0,3344.0088,47.124336,0.055058725,False,False,-371.39593075269045
610.0,-1000.0,610.0,-1000.0,3166.4646,45.216232,0.050703406,False,False,-358.2105643734532
630.0,-1000.0,630.0,-1000.0,3025.5903,44.521393,0.047298294,False,False,-345.1933227110039
650.0,-1000.0,650.0,-1000.0,2918.0808,45.05196,0.044753708,False,False,-332.34913358206813
670.0,-1000.0,670.0,-1000.0,2844.7705,46.6699,0.04309024,False,False,-319.68304984473605
690.0,-1000.0,690.0,-1000.0,2803.6995,49.20141,0.042254314,False,False,-307.2002487523174
710.0,-1000.0,710.0,-1000.0,2789.1638,52.537605,0.042094197,False,False,-294.90603081024267
730.0,-1000.0,730.0,-1000.0,2803.1843,56.468704,0.04266266,False,False,-282.8058180875832
750.0,-1000.0,750.0,-1000.0,2842.8035,60.875996,0.043881223,False,False,-270.9051519330505
770.0,-1000.0,770.0,-1000.0,2907.3535,65.64486,0.045731984,False,False,-262.1014222319853
789.9999999999999,-1000.0,789.9999999999999,-1000.0,2994.853,70.70516,0.04816258,False,False,-274.40182046323207
810.0,-1000.0,810.0,-1000.0,3104.26,75.99956,0.051145498,False,False,-286.89548915209116
830.0,-1000.0,830.0,-1000.0,3234.6875,81.48732,0.05465752,False,False,-299.57685421063115
850.0,-1000.0,850.0,-1000.0,3386.439,87.12442,0.05870661,False,False,-312.4404748406688
869.9999999999999,-1000.0,869.9999999999999,-1000.0,3558.4692,92.895355,0.063265584,False,False,-325.48104475318695
890.0000000000001,-1000.0,890.0000000000001,-1000.0,3748.8347,98.80334,0.06828362,False,False,-338.6933928274989
910.0,-1000.0,910.0,-1000.0,3956.8604,104.84252,0.07374324,False,False,-352.0724832641185
930.0,-1000.0,930.0,-1000.0,4182.499,111.00345,0.079643555,False,False,-365.61341528267076
950.0,-1000.0,950.0,-1000.0,4425.07,117.28767,0.0859672,False,False,-379.31142241337216
969.9999999999999,-1000.0,969.9999999999999,-1000.0,4684.4395,123.6913,0.092711106,False,False,-393.1618714277247
990.0,-1000.0,990.0,-1000.0,4960.953,130.20432,0.09988487,False,False,-407.1602609511114
1010.0,-1000.0,1010.0,-1000.0,5254.8945,136.81816,0.107496485,False,False,-421.3022197970424
1030.0,-1000.0,1030.0,-1000.0,5566.246,143.52905,0.11554612,False,False,-435.58350505987636
1050.0,-1000.0,1050.0,-1000.0,5894.9395,150.33401,0.12403269,False,False,-449.9999999999999
1070.0,-1000.0,1070.0,-1000.0,6241.0947,157.22699,0.13296005,False,False,-464.5477117526763
1090.0,-1000.0,1090.0,-1000.0,6605.4277,164.19243,0.14234778,False,False,-479.2227688891218
1110.0,-1000.0,1110.0,-1000.0,6987.2905,171.23596,0.15217969,False,False,-494.02141885583416
