along_m,lateral_m,expected_area_m2,no_signal
-100.0,-300.0,216.60684,0.0
-96.5,-300.0,214.10683,0.0
-93.0,-300.0,211.63225,0.0
-89.5,-300.0,209.18323,0.0
-86.0,-300.0,206.75974,0.0
-82.5,-300.0,204.36163,0.0
-79.0,-300.0,201.98912,0.0
-75.5,-300.0,199.64195,0.0
-72.0,-300.0,197.32028,0.0
-68.5,-300.0,195.02405,0.0
-65.0,-300.0,192.7533,0.0
-61.5,-300.0,190.50784,0.0
-58.0,-300.0,188.28789,0.0
-54.5,-300.0,186.09326,0.0
-51.0,-300.0,183.92398,0.0
-47.5,-300.0,181.78,0.0
-44.0,-300.0,179.66147,0.0
-40.5,-300.0,177.56819,0.0
-37.0,-300.0,175.50032,0.0
-33.5,-300.0,173.45773,0.0
-30.0,-300.0,171.44044,0.0
-26.5,-300.0,169.44849,0.0
-23.0,-300.0,167.48181,0.0
-19.5,-300.0,165.5404,0.0
-16.0,-300.0,163.62425,0.0
-12.5,-300.0,161.7334,0.0
-9.0,-300.0,159.86777,0.0
-5.5,-300.0,158.02737,0.0
-2.0,-300.0,156.21217,0.0
1.5,-300.0,154.42224,0.0
5.0,-300.0,152.65752,0.0
8.5,-300.0,150.918,0.0
12.0,-300.0,149.2037,0.0
15.5,-300.0,147.5145,0.0
19.0,-300.0,145.85054,0.0
22.5,-300.0,144.21176,0.0
26.0,-300.0,142.59814,0.0
29.5,-300.0,141.00967,0.0
33.0,-300.0,139.44635,0.0
36.5,-300.0,137.90814,0.0
40.0,-300.0,136.3951,0.0
43.5,-300.0,134.9072,0.0
47.0,-300.0,133.44435,0.0
50.5,-300.0,132.00665,0.0
54.0,-300.0,130.59407,0.0
57.5,-300.0,129.20656,0.0
61.0,-300.0,127.844215,0.0
64.5,-300.0,126.50696,0.0
68.0,-300.0,125.19476,0.0
71.5,-300.0,123.90762,0.0
75.0,-300.0,122.64557,0.0
78.5,-300.0,121.40851,0.0
82.0,-300.0,120.19658,0.0
85.5,-300.0,119.009636,0.0
89.0,-300.0,117.847855,0.0
92.5,-300.0,116.71106,0.0
96.0,-300.0,115.59937,0.0
99.5,-300.0,114.512634,0.0
103.0,-300.0,113.450966,0.0
106.5,-300.0,112.4143,0.0
110.0,-300.0,111.40268,0.0
113.5,-300.0,110.41607,0.0
117.0,-300.0,109.45447,0.0
120.5,-300.0,108.51784,0.0
124.0,-300.0,107.60623,0.0
127.5,-300.0,106.71962,0.0
131.0,-300.0,105.85801,0.0
134.5,-300.0,105.0214,0.0
138.0,-300.0,104.20978,0.0
141.5,-300.0,103.42314,0.0
145.0,-300.0,102.661446,0.0
148.5,-300.0,101.92476,0.0
152.0,-300.0,101.21305,0.0
155.5,-300.0,100.52629,0.0
159.0,-300.0,99.86455,0.0
162.5,-300.0,99.22773,0.0
166.0,-300.0,98.61589,0.0
169.5,-300.0,98.02901,0.0
173.0,-300.0,97.46706,0.0
176.5,-300.0,96.93007,0.0
180.0,-300.0,96.41802,0.0
183.5,-300.0,95.93092,0.0
187.0,-300.0,95.4688,0.0
190.5,-300.0,95.03158,0.0
194.0,-300.0,94.61932,0.0
197.5,-300.0,94.232025,0.0
201.0,-300.0,93.86961,0.0
204.5,-300.0,93.532166,0.0
208.0,-300.0,93.219635,0.0
211.5,-300.0,92.93202,0.0
215.0,-300.0,92.66934,0.0
218.5,-300.0,92.43163,0.0
222.0,-300.0,92.21878,0.0
225.5,-300.0,92.03088,0.0
229.0,-300.0,91.867905,0.0
232.5,-300.0,91.72983,0.0
236.0,-300.0,91.616684,0.0
239.5,-300.0,91.52841,0.0
243.0,-300.0,91.4651,0.0
246.5,-300.0,91.4267,0.0
250.0,-300.0,91.41321,0.0
253.5,-300.0,91.42462,0.0
257.0,-300.0,91.460915,0.0
260.5,-300.0,91.522125,0.0
264.0,-300.0,91.60825,0.0
267.5,-300.0,91.71926,0.0
271.0,-300.0,91.855156,0.0
274.5,-300.0,92.01601,0.0
278.0,-300.0,92.20169,0.0
281.5,-300.0,92.41232,0.0
285.0,-300.0,92.647835,0.0
