along_m,lateral_m,expected_area_m2,no_signal
-200.0,-900.0,39270.906,1.0
-190.0,-900.0,39270.906,1.0
-180.0,-900.0,39270.906,1.0
-170.0,-900.0,39270.906,1.0
-160.0,-900.0,39270.906,1.0
-150.0,-900.0,39270.906,1.0
-140.0,-900.0,39270.906,1.0
-130.0,-900.0,39270.906,1.0
-120.0,-900.0,39270.906,1.0
-110.0,-900.0,39270.906,1.0
-100.0,-900.0,39270.906,1.0
-90.0,-900.0,39270.906,1.0
-80.0,-900.0,39270.906,1.0
-70.0,-900.0,39270.906,1.0
-60.0,-900.0,39270.906,1.0
-50.0,-900.0,39270.906,1.0
-40.0,-900.0,39270.906,1.0
-30.0,-900.0,39270.906,1.0
-20.0,-900.0,39270.906,1.0
-10.0,-900.0,39270.906,1.0
0.0,-900.0,39270.906,1.0
10.0,-900.0,39270.906,1.0
20.0,-900.0,39270.906,1.0
30.0,-900.0,39270.906,1.0
40.0,-900.0,39270.906,1.0
50.0,-900.0,39270.906,1.0
60.0,-900.0,39270.906,1.0
70.0,-900.0,39270.906,1.0
80.0,-900.0,39270.906,1.0
90.0,-900.0,39270.906,1.0
100.0,-900.0,39270.906,1.0
110.0,-900.0,39270.906,1.0
120.0,-900.0,39270.906,1.0
130.0,-900.0,39270.906,1.0
140.0,-900.0,39270.906,1.0
150.0,-900.0,39270.906,1.0
160.0,-900.0,39270.906,1.0
170.0,-900.0,39270.906,1.0
180.0,-900.0,39270.906,1.0
190.0,-900.0,39270.906,1.0
200.0,-900.0,39270.906,1.0
210.0,-900.0,39270.906,1.0
220.0,-900.0,39270.906,1.0
230.0,-900.0,39270.906,1.0
240.0,-900.0,39270.906,1.0
250.0,-900.0,39270.906,1.0
260.0,-900.0,39270.906,1.0
270.0,-900.0,39270.906,1.0
280.0,-900.0,39270.906,1.0
290.0,-900.0,39270.906,1.0
300.0,-900.0,39270.906,1.0
310.0,-900.0,39270.906,1.0
320.0,-900.0,39270.906,1.0
330.0,-900.0,39270.906,1.0
340.0,-900.0,2523.4895,0.0
350.0,-900.0,2495.5354,0.0
360.0,-900.0,2467.9111,0.0
370.0,-900.0,2440.6157,0.0
380.0,-900.0,2413.6501,0.0
390.0,-900.0,2387.0137,0.0
400.0,-900.0,2360.7056,0.0
410.0,-900.0,2334.727,0.0
420.0,-900.0,2309.078,0.0
430.0,-900.0,2283.7566,0.0
440.0,-900.0,2258.7642,0.0
450.0,-900.0,2234.101,0.0
460.0,-900.0,2209.7659,0.0
470.0,-900.0,2185.7588,0.0
480.0,-900.0,2162.0806,0.0
490.0,-900.0,2138.73,0.0
500.0,-900.0,2115.7085,0.0
510.0,-900.0,2093.0142,0.0
520.0,-900.0,2070.6484,0.0
530.0,-900.0,2048.6106,0.0
540.0,-900.0,2026.8999,0.0
550.0,-900.0,2005.5173,0.0
560.0,-900.0,1984.4635,0.0
570.0,-900.0,1963.7367,0.0
580.0,-900.0,1943.3375,0.0
590.0,-900.0,1923.266,0.0
600.0,-900.0,1903.5212,0.0
610.0,-900.0,1884.105,0.0
620.0,-900.0,1865.016,0.0
630.0,-900.0,1846.2535,0.0
640.0,-900.0,1827.8193,0.0
650.0,-900.0,1809.7122,0.0
660.0,-900.0,1791.9316,0.0
670.0,-900.0,1774.4783,0.0
680.0,-900.0,1757.3517,0.0
690.0,-900.0,1740.5518,0.0
700.0,-900.0,1724.0789,0.0
710.0,-900.0,1707.933,0.0
720.0,-900.0,1692.1143,0.0
730.0,-900.0,1676.6226,0.0
740.0,-900.0,1661.4576,0.0
750.0,-900.0,1646.6194,0.0
760.0,-900.0,1632.1074,0.0
770.0,-900.0,1617.9219,0.0
780.0,-900.0,1604.0627,0.0
790.0,-900.0,1590.53,0.0
800.0,-900.0,1577.323,0.0
810.0,-900.0,1564.4432,0.0
820.0,-900.0,1551.8903,0.0
830.0,-900.0,1539.6631,0.0
840.0,-900.0,1527.7622,0.0
850.0,-900.0,1516.1875,0.0
860.0,-900.0,1504.9387,0.0
870.0,-900.0,1494.0164,0.0
880.0,-900.0,1483.4203,0.0
890.0,-900.0,1473.1504,0.0
900.0,-900.0,1463.2062,0.0
910.0,-900.0,1453.5876,0.0
920.0,-900.0,1444.2954,0.0
930.0,-900.0,1435.3293,0.0
940.0,-900.0,1426.689,0.0
950.0,-900.0,1418.3744,0.0
960.0,-900.0,1410.3865,0.0
970.0,-900.0,1402.7238,0.0
980.0,-900.0,1395.3865,0.0
990.0,-900.0,1388.3754,0.0
1000.0,-900.0,1381.6895,0.0
1010.0,-900.0,1375.3296,0.0
1020.0,-900.0,1369.2954,0.0
1030.0,-900.0,1363.5872,0.0
1040.0,-900.0,1358.2048,0.0
1050.0,-900.0,1353.1477,0.0
1060.0,-900.0,1348.4158,0.0
1070.0,-900.0,1344.0095,0.0
1080.0,-900.0,1339.9294,0.0
1090.0,-900.0,1336.1746,0.0
1100.0,-900.0,1332.7451,0.0
1110.0,-900.0,1329.6411,0.0
1120.0,-900.0,1326.8623,0.0
1130.0,-900.0,1324.4093,0.0
1140.0,-900.0,1322.282,0.0
1150.0,-900.0,1320.4799,0.0
1160.0,-900.0,1319.003,0.0
1170.0,-900.0,1317.8518,0.0
1180.0,-900.0,1317.0256,0.0
1190.0,-900.0,1316.5254,0.0
1200.0,-900.0,1316.3501,0.0
1210.0,-900.0,1316.5,0.0
1220.0,-900.0,1316.9756,0.0
1230.0,-900.0,1317.7761,0.0
1240.0,-900.0,1318.9023,0.0
1250.0,-900.0,1320.353,0.0
1260.0,-900.0,1322.1294,0.0
1270.0,-900.0,1324.2311,0.0
1280.0,-900.0,1326.6578,0.0
1290.0,-900.0,1329.4106,0.0
1300.0,-900.0,1332.4877,0.0
1310.0,-900.0,1335.8899,0.0
1320.0,-900.0,1339.6177,0.0
1330.0,-900.0,1343.6704,0.0
1340.0,-900.0,1348.0488,0.0
1350.0,-900.0,1352.7517,0.0
1360.0,-900.0,1357.7805,0.0
1370.0,-900.0,1363.134,0.0
1380.0,-900.0,1368.8127,0.0
1390.0,-900.0,1374.8167,0.0
1400.0,-900.0,1381.145,0.0
1410.0,-900.0,1387.7992,0.0
1420.0,-900.0,1394.778,0.0
1430.0,-900.0,1402.082,0.0
1440.0,-900.0,1409.7109,0.0
1450.0,-900.0,1417.6655,0.0
1460.0,-900.0,1425.9453,0.0
1470.0,-900.0,1434.55,0.0
1480.0,-900.0,1443.4797,0.0
1490.0,-900.0,1452.7346,0.0
1500.0,-900.0,1462.314,0.0
1510.0,-900.0,1472.2183,0.0
1520.0,-900.0,1482.4485,0.0
