along_m,lateral_m,expected_area_m2,no_signal
-200.0,-900.0,39270.906,1.0
-190.0,-900.0,39270.906,1.0
-180.0,-900.0,39270.906,1.0
-170.0,-900.0,39270.906,1.0
-160.0,-900.0,39270.906,1.0
-150.0,-900.0,39270.906,1.0
-140.0,-900.0,39270.906,1.0
-130.0,-900.0,39270.906,1.0
-120.0,-900.0,39270.906,1.0
-110.0,-900.0,39270.906,1.0
-100.0,-900.0,39270.906,1.0
-90.0,-900.0,39270.906,1.0
-80.0,-900.0,39270.906,1.0
-70.0,-900.0,39270.906,1.0
-60.0,-900.0,39270.906,1.0
-50.0,-900.0,39270.906,1.0
-40.0,-900.0,39270.906,1.0
-30.0,-900.0,39270.906,1.0
-20.0,-900.0,39270.906,1.0
-10.0,-900.0,39270.906,1.0
0.0,-900.0,39270.906,1.0
10.0,-900.0,39270.906,1.0
20.0,-900.0,39270.906,1.0
30.0,-900.0,39270.906,1.0
40.0,-900.0,39270.906,1.0
50.0,-900.0,39270.906,1.0
60.0,-900.0,39270.906,1.0
70.0,-900.0,39270.906,1.0
80.0,-900.0,39270.906,1.0
90.0,-900.0,39270.906,1.0
100.0,-900.0,39270.906,1.0
110.0,-900.0,39270.906,1.0
120.0,-900.0,2213.8916,0.0
130.0,-900.0,2188.6018,0.0
140.0,-900.0,2163.6067,0.0
150.0,-900.0,2138.9072,0.0
160.0,-900.0,2114.503,0.0
170.0,-900.0,2090.3936,0.0
180.0,-900.0,2066.5784,0.0
190.0,-900.0,2043.0573,0.0
200.0,-900.0,2019.8303,0.0
210.0,-900.0,1996.8981,0.0
220.0,-900.0,1974.2583,0.0
230.0,-900.0,1951.9124,0.0
240.0,-900.0,1929.8596,0.0
250.0,-900.0,1908.0989,0.0
260.0,-900.0,1886.6321,0.0
270.0,-900.0,1865.457,0.0
280.0,-900.0,1844.5745,0.0
290.0,-900.0,1823.9845,0.0
300.0,-900.0,1803.6858,0.0
310.0,-900.0,1783.6785,0.0
320.0,-900.0,1763.9629,0.0
330.0,-900.0,1744.5386,0.0
340.0,-900.0,1725.405,0.0
350.0,-900.0,1706.5623,0.0
360.0,-900.0,1688.0105,0.0
370.0,-900.0,1669.7491,0.0
380.0,-900.0,1651.7778,0.0
390.0,-900.0,1634.0964,0.0
400.0,-900.0,1616.7048,0.0
410.0,-900.0,1599.6028,0.0
420.0,-900.0,1582.7906,0.0
430.0,-900.0,1566.2678,0.0
440.0,-900.0,1550.0344,0.0
450.0,-900.0,1534.0894,0.0
460.0,-900.0,1518.4329,0.0
470.0,-900.0,1503.0652,0.0
480.0,-900.0,1487.9856,0.0
490.0,-900.0,1473.1937,0.0
500.0,-900.0,1458.6903,0.0
510.0,-900.0,1444.4744,0.0
520.0,-900.0,1430.546,0.0
530.0,-900.0,1416.906,0.0
540.0,-900.0,1403.5521,0.0
550.0,-900.0,1390.4863,0.0
560.0,-900.0,1377.7069,0.0
570.0,-900.0,1365.2141,0.0
580.0,-900.0,1353.0073,0.0
590.0,-900.0,1341.0874,0.0
600.0,-900.0,1329.4536,0.0
610.0,-900.0,1318.1055,0.0
620.0,-900.0,1307.0432,0.0
630.0,-900.0,1296.2666,0.0
640.0,-900.0,1285.7755,0.0
650.0,-900.0,1275.5697,0.0
660.0,-900.0,1265.6489,0.0
670.0,-900.0,1256.0134,0.0
680.0,-900.0,1246.663,0.0
690.0,-900.0,1237.5964,0.0
700.0,-900.0,1228.8147,0.0
710.0,-900.0,1220.3174,0.0
720.0,-900.0,1212.1039,0.0
730.0,-900.0,1204.1747,0.0
740.0,-900.0,1196.5288,0.0
750.0,-900.0,1189.167,0.0
760.0,-900.0,1182.0889,0.0
770.0,-900.0,1175.2937,0.0
780.0,-900.0,1168.782,0.0
790.0,-900.0,1162.553,0.0
800.0,-900.0,1156.6069,0.0
810.0,-900.0,1150.9432,0.0
820.0,-900.0,1145.563,0.0
830.0,-900.0,1140.464,0.0
840.0,-900.0,1135.648,0.0
850.0,-900.0,1131.1143,0.0
860.0,-900.0,1126.862,0.0
870.0,-900.0,1122.8916,0.0
880.0,-900.0,1119.2029,0.0
890.0,-900.0,1115.7954,0.0
900.0,-900.0,1112.6696,0.0
910.0,-900.0,1109.8248,0.0
920.0,-900.0,1107.261,0.0
930.0,-900.0,1104.9779,0.0
940.0,-900.0,1102.976,0.0
950.0,-900.0,1101.254,0.0
960.0,-900.0,1099.8131,0.0
970.0,-900.0,1098.6522,0.0
980.0,-900.0,1097.7712,0.0
990.0,-900.0,1097.1705,0.0
1000.0,-900.0,1096.8499,0.0
1010.0,-900.0,1096.8086,0.0
1020.0,-900.0,1097.0466,0.0
1030.0,-900.0,1097.5645,0.0
1040.0,-900.0,1098.3611,0.0
1050.0,-900.0,1099.437,0.0
1060.0,-900.0,1100.7919,0.0
1070.0,-900.0,1102.4257,0.0
1080.0,-900.0,1104.3381,0.0
1090.0,-900.0,1106.5293,0.0
1100.0,-900.0,1108.9988,0.0
1110.0,-900.0,1111.7458,0.0
1120.0,-900.0,1114.772,0.0
1130.0,-900.0,1118.0754,0.0
1140.0,-900.0,1121.6572,0.0
1150.0,-900.0,1125.5165,0.0
1160.0,-900.0,1129.6528,0.0
1170.0,-900.0,1134.0671,0.0
1180.0,-900.0,1138.7583,0.0
1190.0,-900.0,1143.727,0.0
1200.0,-900.0,1148.9724,0.0
1210.0,-900.0,1154.4945,0.0
1220.0,-900.0,1160.2932,0.0
1230.0,-900.0,1166.3688,0.0
1240.0,-900.0,1172.7208,0.0
1250.0,-900.0,1179.3491,0.0
1260.0,-900.0,1186.2537,0.0
1270.0,-900.0,1193.4342,0.0
1280.0,-900.0,1200.8904,0.0
1290.0,-900.0,1208.6222,0.0
1300.0,-900.0,1216.6296,0.0
1310.0,-900.0,1224.9126,0.0
1320.0,-900.0,1233.4705,0.0
1330.0,-900.0,1242.3037,0.0
1340.0,-900.0,1251.4121,0.0
1350.0,-900.0,1260.7954,0.0
1360.0,-900.0,1270.4535,0.0
1370.0,-900.0,1280.3859,0.0
1380.0,-900.0,1290.592,0.0
1390.0,-900.0,1301.0728,0.0
1400.0,-900.0,1311.8269,0.0
1410.0,-900.0,1322.855,0.0
1420.0,-900.0,1334.1562,0.0
1430.0,-900.0,1345.7318,0.0
1440.0,-900.0,1357.5813,0.0
1450.0,-900.0,1369.7048,0.0
1460.0,-900.0,1382.1027,0.0
1470.0,-900.0,1394.774,0.0
1480.0,-900.0,1407.7178,0.0
1490.0,-900.0,1420.9341,0.0
1500.0,-900.0,1434.4227,0.0
1510.0,-900.0,1448.184,0.0
