along_m,lateral_m,expected_area_m2,no_signal
-200.0,-900.0,39270.906,1.0
-190.0,-900.0,39270.906,1.0
-180.0,-900.0,39270.906,1.0
-170.0,-900.0,39270.906,1.0
-160.0,-900.0,39270.906,1.0
-150.0,-900.0,39270.906,1.0
-140.0,-900.0,39270.906,1.0
-130.0,-900.0,39270.906,1.0
-120.0,-900.0,39270.906,1.0
-110.0,-900.0,39270.906,1.0
-100.0,-900.0,39270.906,1.0
-90.0,-900.0,39270.906,1.0
-80.0,-900.0,39270.906,1.0
-70.0,-900.0,39270.906,1.0
-60.0,-900.0,1682.812,0.0
-50.0,-900.0,1664.157,0.0
-40.0,-900.0,1645.7227,0.0
-30.0,-900.0,1627.5089,0.0
-20.0,-900.0,1609.515,0.0
-10.0,-900.0,1591.741,0.0
0.0,-900.0,1574.1875,0.0
10.0,-900.0,1556.853,0.0
20.0,-900.0,1539.7385,0.0
30.0,-900.0,1522.8439,0.0
40.0,-900.0,1506.169,0.0
50.0,-900.0,1489.7131,0.0
60.0,-900.0,1473.4773,0.0
70.0,-900.0,1457.4607,0.0
80.0,-900.0,1441.6633,0.0
90.0,-900.0,1426.0851,0.0
100.0,-900.0,1410.7261,0.0
110.0,-900.0,1395.5864,0.0
120.0,-900.0,1380.6655,0.0
130.0,-900.0,1365.9639,0.0
140.0,-900.0,1351.481,0.0
150.0,-900.0,1337.2174,0.0
160.0,-900.0,1323.1724,0.0
170.0,-900.0,1309.346,0.0
180.0,-900.0,1295.7385,0.0
190.0,-900.0,1282.3499,0.0
200.0,-900.0,1269.1792,0.0
210.0,-900.0,1256.2275,0.0
220.0,-900.0,1243.4946,0.0
230.0,-900.0,1230.9797,0.0
240.0,-900.0,1218.6838,0.0
250.0,-900.0,1206.6064,0.0
260.0,-900.0,1194.7466,0.0
270.0,-900.0,1183.1055,0.0
280.0,-900.0,1171.6826,0.0
290.0,-900.0,1160.4774,0.0
300.0,-900.0,1149.4905,0.0
310.0,-900.0,1138.7218,0.0
320.0,-900.0,1128.1714,0.0
330.0,-900.0,1117.8391,0.0
340.0,-900.0,1107.7249,0.0
350.0,-900.0,1097.8289,0.0
360.0,-900.0,1088.1499,0.0
370.0,-900.0,1078.6893,0.0
380.0,-900.0,1069.4463,0.0
390.0,-900.0,1060.4213,0.0
400.0,-900.0,1051.6138,0.0
410.0,-900.0,1043.0239,0.0
420.0,-900.0,1034.652,0.0
430.0,-900.0,1026.4978,0.0
440.0,-900.0,1018.5609,0.0
450.0,-900.0,1010.8418,0.0
460.0,-900.0,1003.3403,0.0
470.0,-900.0,996.0562,0.0
480.0,-900.0,988.98987,0.0
490.0,-900.0,982.1409,0.0
500.0,-900.0,975.5094,0.0
510.0,-900.0,969.0952,0.0
520.0,-900.0,962.89825,0.0
530.0,-900.0,956.9189,0.0
540.0,-900.0,951.15686,0.0
550.0,-900.0,945.6124,0.0
560.0,-900.0,940.285,0.0
570.0,-900.0,935.175,0.0
580.0,-900.0,930.28186,0.0
590.0,-900.0,925.6063,0.0
600.0,-900.0,921.1477,0.0
610.0,-900.0,916.9065,0.0
620.0,-900.0,912.8823,0.0
630.0,-900.0,909.0756,0.0
640.0,-900.0,905.4858,0.0
650.0,-900.0,902.11316,0.0
660.0,-900.0,898.95764,0.0
670.0,-900.0,896.01917,0.0
680.0,-900.0,893.2978,0.0
690.0,-900.0,890.7936,0.0
700.0,-900.0,888.5061,0.0
710.0,-900.0,886.43616,0.0
720.0,-900.0,884.58276,0.0
730.0,-900.0,882.94617,0.0
740.0,-900.0,881.52686,0.0
750.0,-900.0,880.3246,0.0
760.0,-900.0,879.3391,0.0
770.0,-900.0,878.57056,0.0
780.0,-900.0,878.0188,0.0
790.0,-900.0,877.6843,0.0
800.0,-900.0,877.5667,0.0
810.0,-900.0,877.66565,0.0
820.0,-900.0,877.9818,0.0
830.0,-900.0,878.51483,0.0
840.0,-900.0,879.2645,0.0
850.0,-900.0,880.23083,0.0
860.0,-900.0,881.41394,0.0
870.0,-900.0,882.81433,0.0
880.0,-900.0,884.43097,0.0
890.0,-900.0,886.2652,0.0
900.0,-900.0,888.3156,0.0
910.0,-900.0,890.5827,0.0
920.0,-900.0,893.0669,0.0
930.0,-900.0,895.7676,0.0
940.0,-900.0,898.6855,0.0
950.0,-900.0,901.8195,0.0
960.0,-900.0,905.17084,0.0
970.0,-900.0,908.73846,0.0
980.0,-900.0,912.5232,0.0
990.0,-900.0,916.5243,0.0
1000.0,-900.0,920.7419,0.0
1010.0,-900.0,925.1765,0.0
1020.0,-900.0,929.8276,0.0
1030.0,-900.0,934.69543,0.0
1040.0,-900.0,939.78,0.0
1050.0,-900.0,945.0814,0.0
1060.0,-900.0,950.5995,0.0
1070.0,-900.0,956.3341,0.0
1080.0,-900.0,962.2854,0.0
1090.0,-900.0,968.45306,0.0
1100.0,-900.0,974.8375,0.0
1110.0,-900.0,981.43835,0.0
1120.0,-900.0,988.25586,0.0
1130.0,-900.0,995.29004,0.0
1140.0,-900.0,1002.5408,0.0
1150.0,-900.0,1010.008,0.0
1160.0,-900.0,1017.692,0.0
1170.0,-900.0,1025.5924,0.0
1180.0,-900.0,1033.7091,0.0
1190.0,-900.0,1042.042,0.0
1200.0,-900.0,1050.5911,0.0
1210.0,-900.0,1059.3569,0.0
1220.0,-900.0,1068.3386,0.0
1230.0,-900.0,1077.5365,0.0
1240.0,-900.0,1086.9513,0.0
1250.0,-900.0,1096.5828,0.0
1260.0,-900.0,1106.4318,0.0
1270.0,-900.0,1116.4973,0.0
1280.0,-900.0,1126.779,0.0
1290.0,-900.0,1137.2776,0.0
1300.0,-900.0,1147.9917,0.0
1310.0,-900.0,1158.9226,0.0
1320.0,-900.0,1170.0697,0.0
1330.0,-900.0,1181.4331,0.0
1340.0,-900.0,1193.0133,0.0
1350.0,-900.0,1204.8097,0.0
1360.0,-900.0,1216.8223,0.0
1370.0,-900.0,1229.0515,0.0
1380.0,-900.0,1241.4968,0.0
1390.0,-900.0,1254.1583,0.0
1400.0,-900.0,1267.0365,0.0
1410.0,-900.0,1280.1304,0.0
1420.0,-900.0,1293.4412,0.0
1430.0,-900.0,1306.9677,0.0
1440.0,-900.0,1320.7104,0.0
1450.0,-900.0,1334.6694,0.0
1460.0,-900.0,1348.845,0.0
1470.0,-900.0,1363.2357,0.0
1480.0,-900.0,1377.8435,0.0
1490.0,-900.0,1392.6671,0.0
1500.0,-900.0,1407.7068,0.0
1510.0,-900.0,1422.9626,0.0
1520.0,-900.0,1438.4343,0.0
1530.0,-900.0,1454.1223,0.0
