along_m,lateral_m,expected_area_m2,no_signal
-200.0,-900.0,634.9514,0.0
-190.0,-900.0,628.4617,0.0
-180.0,-900.0,622.0819,0.0
-170.0,-900.0,615.81165,0.0
-160.0,-900.0,609.6512,0.0
-150.0,-900.0,603.6005,0.0
-140.0,-900.0,597.659,0.0
-130.0,-900.0,591.8273,0.0
-120.0,-900.0,586.105,0.0
-110.0,-900.0,580.4922,0.0
-100.0,-900.0,574.98865,0.0
-90.0,-900.0,569.59454,0.0
-80.0,-900.0,564.31006,0.0
-70.0,-900.0,559.13477,0.0
-60.0,-900.0,554.06885,0.0
-50.0,-900.0,549.1124,0.0
-40.0,-900.0,544.2651,0.0
-30.0,-900.0,539.52686,0.0
-20.0,-900.0,534.89777,0.0
-10.0,-900.0,530.37805,0.0
0.0,-900.0,525.96716,0.0
10.0,-900.0,521.6654,0.0
20.0,-900.0,517.47296,0.0
30.0,-900.0,513.3896,0.0
40.0,-900.0,509.415,0.0
50.0,-900.0,505.54953,0.0
60.0,-900.0,501.79297,0.0
70.0,-900.0,498.14548,0.0
80.0,-900.0,494.607,0.0
90.0,-900.0,491.17725,0.0
100.0,-900.0,487.8564,0.0
110.0,-900.0,484.64465,0.0
120.0,-900.0,481.5416,0.0
130.0,-900.0,478.54727,0.0
140.0,-900.0,475.66193,0.0
150.0,-900.0,472.88535,0.0
160.0,-900.0,470.21753,0.0
170.0,-900.0,467.6585,0.0
180.0,-900.0,465.2082,0.0
190.0,-900.0,462.86658,0.0
200.0,-900.0,460.63364,0.0
210.0,-900.0,458.5094,0.0
220.0,-900.0,456.49396,0.0
230.0,-900.0,454.58716,0.0
240.0,-900.0,452.789,0.0
250.0,-900.0,451.0993,0.0
260.0,-900.0,449.51843,0.0
270.0,-900.0,448.04617,0.0
280.0,-900.0,446.6824,0.0
290.0,-900.0,445.42728,0.0
300.0,-900.0,444.28064,0.0
310.0,-900.0,443.24258,0.0
320.0,-900.0,442.31302,0.0
330.0,-900.0,441.4922,0.0
340.0,-900.0,440.77966,0.0
350.0,-900.0,440.17584,0.0
360.0,-900.0,439.68033,0.0
370.0,-900.0,439.2934,0.0
380.0,-900.0,439.01486,0.0
390.0,-900.0,438.84482,0.0
400.0,-900.0,438.78333,0.0
410.0,-900.0,438.8302,0.0
420.0,-900.0,438.98547,0.0
430.0,-900.0,439.2492,0.0
440.0,-900.0,439.62143,0.0
450.0,-900.0,440.10187,0.0
460.0,-900.0,440.69077,0.0
470.0,-900.0,441.3881,0.0
480.0,-900.0,442.19382,0.0
490.0,-900.0,443.1078,0.0
500.0,-900.0,444.1302,0.0
510.0,-900.0,445.26093,0.0
520.0,-900.0,446.49988,0.0
530.0,-900.0,447.8473,0.0
540.0,-900.0,449.30298,0.0
550.0,-900.0,450.8671,0.0
560.0,-900.0,452.53943,0.0
570.0,-900.0,454.31995,0.0
580.0,-900.0,456.2088,0.0
590.0,-900.0,458.20593,0.0
600.0,-900.0,460.31122,0.0
610.0,-900.0,462.52475,0.0
620.0,-900.0,464.84647,0.0
630.0,-900.0,467.27658,0.0
640.0,-900.0,469.81497,0.0
650.0,-900.0,472.46146,0.0
660.0,-900.0,475.2163,0.0
670.0,-900.0,478.0791,0.0
680.0,-900.0,481.0502,0.0
690.0,-900.0,484.12952,0.0
700.0,-900.0,487.31683,0.0
710.0,-900.0,490.61237,0.0
720.0,-900.0,494.0159,0.0
730.0,-900.0,497.5276,0.0
740.0,-900.0,501.14746,0.0
750.0,-900.0,504.8755,0.0
760.0,-900.0,508.71143,0.0
770.0,-900.0,512.65546,0.0
780.0,-900.0,516.7075,0.0
790.0,-900.0,520.86755,0.0
800.0,-900.0,525.13544,0.0
810.0,-900.0,529.51105,0.0
820.0,-900.0,533.9949,0.0
830.0,-900.0,538.58624,0.0
840.0,-900.0,543.28564,0.0
850.0,-900.0,548.0933,0.0
860.0,-900.0,553.0093,0.0
870.0,-900.0,558.03345,0.0
880.0,-900.0,563.16534,0.0
890.0,-900.0,568.40515,0.0
900.0,-900.0,573.75256,0.0
910.0,-900.0,579.2079,0.0
920.0,-900.0,584.77106,0.0
930.0,-900.0,590.44196,0.0
940.0,-900.0,596.2208,0.0
950.0,-900.0,602.10754,0.0
960.0,-900.0,608.1018,0.0
970.0,-900.0,614.2038,0.0
980.0,-900.0,620.4137,0.0
990.0,-900.0,626.73114,0.0
1000.0,-900.0,633.1564,0.0
1010.0,-900.0,639.6891,0.0
1020.0,-900.0,646.3296,0.0
1030.0,-900.0,653.0774,0.0
1040.0,-900.0,659.93317,0.0
1050.0,-900.0,666.8961,0.0
1060.0,-900.0,673.9669,0.0
1070.0,-900.0,681.1446,0.0
1080.0,-900.0,688.4304,0.0
1090.0,-900.0,695.8235,0.0
1100.0,-900.0,703.3236,0.0
1110.0,-900.0,710.9316,0.0
1120.0,-900.0,718.6466,0.0
1130.0,-900.0,726.46924,0.0
1140.0,-900.0,734.3984,0.0
1150.0,-900.0,742.4354,0.0
1160.0,-900.0,750.5793,0.0
1170.0,-900.0,758.8308,0.0
1180.0,-900.0,767.1891,0.0
1190.0,-900.0,775.6549,0.0
1200.0,-900.0,784.22723,0.0
1210.0,-900.0,792.907,0.0
1220.0,-900.0,801.6936,0.0
1230.0,-900.0,810.5873,0.0
1240.0,-900.0,819.5872,0.0
1250.0,-900.0,828.6946,0.0
1260.0,-900.0,837.90857,0.0
1270.0,-900.0,39270.906,1.0
1280.0,-900.0,39270.906,1.0
1290.0,-900.0,39270.906,1.0
1300.0,-900.0,39270.906,1.0
1310.0,-900.0,39270.906,1.0
1320.0,-900.0,39270.906,1.0
1330.0,-900.0,39270.906,1.0
1340.0,-900.0,39270.906,1.0
1350.0,-900.0,39270.906,1.0
1360.0,-900.0,39270.906,1.0
1370.0,-900.0,39270.906,1.0
1380.0,-900.0,39270.906,1.0
1390.0,-900.0,39270.906,1.0
1400.0,-900.0,39270.906,1.0
1410.0,-900.0,39270.906,1.0
1420.0,-900.0,39270.906,1.0
1430.0,-900.0,39270.906,1.0
1440.0,-900.0,39270.906,1.0
1450.0,-900.0,39270.906,1.0
1460.0,-900.0,39270.906,1.0
1470.0,-900.0,39270.906,1.0
1480.0,-900.0,39270.906,1.0
1490.0,-900.0,39270.906,1.0
1500.0,-900.0,39270.906,1.0
1510.0,-900.0,39270.906,1.0
1520.0,-900.0,39270.906,1.0
1530.0,-900.0,39270.906,1.0
1540.0,-900.0,39270.906,1.0
1550.0,-900.0,39270.906,1.0
1560.0,-900.0,39270.906,1.0
1570.0,-900.0,39270.906,1.0
1580.0,-900.0,39270.906,1.0
1590.0,-900.0,39270.906,1.0
1600.0,-900.0,39270.906,1.0
1610.0,-900.0,39270.906,1.0
1620.0,-900.0,39270.906,1.0
1630.0,-900.0,39270.906,1.0
1640.0,-900.0,39270.906,1.0
1650.0,-900.0,39270.906,1.0
1660.0,-900.0,39270.906,1.0
1670.0,-900.0,39270.906,1.0
1680.0,-900.0,39270.906,1.0
1690.0,-900.0,39270.906,1.0
1700.0,-900.0,39270.906,1.0
1710.0,-900.0,39270.906,1.0
1720.0,-900.0,39270.906,1.0
1730.0,-900.0,39270.906,1.0
1740.0,-900.0,39270.906,1.0
1750.0,-900.0,39270.906,1.0
1760.0,-900.0,39270.906,1.0
1770.0,-900.0,39270.906,1.0
1780.0,-900.0,39270.906,1.0
1790.0,-900.0,39270.906,1.0
1800.0,-900.0,39270.906,1.0
-200.0,-890.0,632.27527,0.0
-190.0,-890.0,625.7125,0.0
-180.0,-890.0,619.26086,0.0
-170.0,-890.0,612.9203,0.0
-160.0,-890.0,606.69006,0.0
-150.0,-890.0,600.5716,0.0
-140.0,-890.0,594.5635,0.0
-130.0,-890.0,588.6661,0.0
-120.0,-890.0,582.87933,0.0
-110.0,-890.0,577.2033,0.0
-100.0,-890.0,571.6381,0.0
-90.0,-890.0,566.1832,0.0
-80.0,-890.0,560.83923,0.0
-70.0,-890.0,555.6061,0.0
-60.0,-890.0,550.4834,0.0
-50.0,-890.0,545.47107,0.0
