along_m,lateral_m,expected_area_m2,no_signal
-100.0,-300.0,216.60684,0.0
-96.5,-300.0,214.10684,0.0
-93.0,-300.0,211.63226,0.0
-89.5,-300.0,209.18324,0.0
-86.0,-300.0,206.75972,0.0
-82.5,-300.0,204.36166,0.0
-79.0,-300.0,201.98914,0.0
-75.5,-300.0,199.64195,0.0
-72.0,-300.0,197.32028,0.0
-68.5,-300.0,195.02406,0.0
-65.0,-300.0,192.7533,0.0
-61.5,-300.0,190.50784,0.0
-58.0,-300.0,188.28789,0.0
-54.5,-300.0,186.09328,0.0
-51.0,-300.0,183.924,0.0
-47.5,-300.0,181.78001,0.0
-44.0,-300.0,179.66148,0.0
-40.5,-300.0,177.56818,0.0
-37.0,-300.0,175.50034,0.0
-33.5,-300.0,173.45776,0.0
-30.0,-300.0,171.44043,0.0
-26.5,-300.0,169.44849,0.0
-23.0,-300.0,167.48183,0.0
-19.5,-300.0,165.5404,0.0
-16.0,-300.0,163.62427,0.0
-12.5,-300.0,161.7334,0.0
-9.0,-300.0,159.86777,0.0
-5.5,-300.0,158.02737,0.0
-2.0,-300.0,156.21219,0.0
1.5,-300.0,154.42224,0.0
5.0,-300.0,152.65753,0.0
8.5,-300.0,150.91803,0.0
12.0,-300.0,149.2037,0.0
15.5,-300.0,147.51451,0.0
19.0,-300.0,145.85056,0.0
22.5,-300.0,144.21176,0.0
26.0,-300.0,142.59814,0.0
29.5,-300.0,141.00967,0.0
33.0,-300.0,139.44635,0.0
36.5,-300.0,137.90814,0.0
40.0,-300.0,136.3951,0.0
43.5,-300.0,134.9072,0.0
47.0,-300.0,133.44435,0.0
50.5,-300.0,132.00665,0.0
54.0,-300.0,130.59406,0.0
57.5,-300.0,129.20657,0.0
61.0,-300.0,127.844215,0.0
64.5,-300.0,126.50696,0.0
68.0,-300.0,125.19476,0.0
71.5,-300.0,123.90764,0.0
75.0,-300.0,122.64557,0.0
78.5,-300.0,121.408516,0.0
82.0,-300.0,120.19657,0.0
85.5,-300.0,119.00963,0.0
89.0,-300.0,117.847855,0.0
92.5,-300.0,116.71107,0.0
96.0,-300.0,115.599365,0.0
99.5,-300.0,114.51265,0.0
103.0,-300.0,113.450966,0.0
106.5,-300.0,112.4143,0.0
110.0,-300.0,111.40267,0.0
113.5,-300.0,110.41608,0.0
117.0,-300.0,109.45446,0.0
120.5,-300.0,108.51784,0.0
124.0,-300.0,107.60622,0.0
127.5,-300.0,106.719604,0.0
131.0,-300.0,105.85802,0.0
134.5,-300.0,105.0214,0.0
138.0,-300.0,104.20978,0.0
141.5,-300.0,103.42314,0.0
145.0,-300.0,102.661446,0.0
148.5,-300.0,101.92476,0.0
152.0,-300.0,101.21304,0.0
155.5,-300.0,100.52631,0.0
159.0,-300.0,99.86453,0.0
162.5,-300.0,99.22772,0.0
166.0,-300.0,98.615875,0.0
169.5,-300.0,98.02899,0.0
173.0,-300.0,97.46706,0.0
176.5,-300.0,96.93008,0.0
180.0,-300.0,96.41802,0.0
183.5,-300.0,95.93092,0.0
187.0,-300.0,95.468796,0.0
190.5,-300.0,95.03157,0.0
194.0,-300.0,94.61931,0.0
197.5,-300.0,94.23202,0.0
201.0,-300.0,93.86963,0.0
204.5,-300.0,93.532166,0.0
208.0,-300.0,93.219635,0.0
211.5,-300.0,92.93201,0.0
215.0,-300.0,92.669334,0.0
218.5,-300.0,92.43161,0.0
222.0,-300.0,92.21878,0.0
225.5,-300.0,92.03088,0.0
229.0,-300.0,91.867905,0.0
232.5,-300.0,91.72981,0.0
236.0,-300.0,91.616684,0.0
239.5,-300.0,91.52843,0.0
243.0,-300.0,91.46511,0.0
246.5,-300.0,91.426704,0.0
250.0,-300.0,91.41321,0.0
253.5,-300.0,91.42462,0.0
257.0,-300.0,91.46091,0.0
260.5,-300.0,91.522125,0.0
264.0,-300.0,91.608246,0.0
267.5,-300.0,91.71925,0.0
271.0,-300.0,91.855156,0.0
274.5,-300.0,92.01601,0.0
278.0,-300.0,92.20169,0.0
281.5,-300.0,92.41231,0.0
285.0,-300.0,92.64781,0.0
288.5,-300.0,92.90823,0.0
292.0,-300.0,93.19353,0.0
295.5,-300.0,93.50371,0.0
299.0,-300.0,93.83879,0.0
302.5,-300.0,94.198746,0.0
306.0,-300.0,94.5836,0.0
309.5,-300.0,94.99335,0.0
313.0,-300.0,95.42797,0.0
316.5,-300.0,95.887474,0.0
320.0,-300.0,96.37185,0.0
323.5,-300.0,96.88111,0.0
327.0,-300.0,97.41525,0.0
330.5,-300.0,97.97432,0.0
334.0,-300.0,98.55826,0.0
337.5,-300.0,99.16708,0.0
341.0,-300.0,99.800735,0.0
344.5,-300.0,100.45928,0.0
348.0,-300.0,101.14272,0.0
351.5,-300.0,101.851,0.0
355.0,-300.0,102.5842,0.0
358.5,-300.0,103.342224,0.0
362.0,-300.0,104.12513,0.0
365.5,-300.0,104.93292,0.0
369.0,-300.0,105.76558,0.0
372.5,-300.0,106.62309,0.0
376.0,-300.0,107.505455,0.0
379.5,-300.0,108.41264,0.0
383.0,-300.0,109.344696,0.0
386.5,-300.0,110.30156,0.0
390.0,-300.0,111.28324,0.0
393.5,-300.0,112.289764,0.0
397.0,-300.0,113.32121,0.0
400.5,-300.0,114.3775,0.0
404.0,-300.0,115.45877,0.0
407.5,-300.0,116.564926,0.0
411.0,-300.0,117.695885,0.0
414.5,-300.0,118.85173,0.0
418.0,-300.0,120.03235,0.0
421.5,-300.0,121.23781,0.0
425.0,-300.0,122.46814,0.0
428.5,-300.0,123.72331,0.0
432.0,-300.0,125.00332,0.0
435.5,-300.0,126.308174,0.0
439.0,-300.0,127.63788,0.0
442.5,-300.0,128.99242,0.0
446.0,-300.0,130.37177,0.0
449.5,-300.0,131.776,0.0
453.0,-300.0,133.20503,0.0
456.5,-300.0,134.65887,0.0
460.0,-300.0,136.13756,0.0
463.5,-300.0,137.64104,0.0
467.0,-300.0,139.16937,0.0
470.5,-300.0,140.72252,0.0
474.0,-300.0,142.30048,0.0
477.5,-300.0,143.90323,0.0
481.0,-300.0,145.53084,0.0
484.5,-300.0,147.18323,0.0
488.0,-300.0,148.86038,0.0
491.5,-300.0,150.56238,0.0
495.0,-300.0,152.28918,0.0
498.5,-300.0,154.04071,0.0
502.0,-300.0,155.81711,0.0
505.5,-300.0,157.61824,0.0
509.0,-300.0,159.44415,0.0
512.5,-300.0,161.29489,0.0
516.0,-300.0,163.17041,0.0
519.5,-300.0,165.07065,0.0
523.0,-300.0,166.9957,0.0
526.5,-300.0,168.94553,0.0
530.0,-300.0,170.92004,0.0
533.5,-300.0,172.91931,0.0
537.0,-300.0,174.94334,0.0
540.5,-300.0,176.99214,0.0
544.0,-300.0,179.0657,0.0
547.5,-300.0,181.16397,0.0
551.0,-300.0,183.28699,0.0
554.5,-300.0,185.43481,0.0
558.0,-300.0,187.60736,0.0
561.5,-300.0,189.80464,0.0
565.0,-300.0,192.02663,0.0
568.5,-300.0,194.27332,0.0
572.0,-300.0,196.54465,0.0
575.5,-300.0,198.84079,0.0
579.0,-300.0,201.16148,0.0
582.5,-300.0,203.50696,0.0
586.0,-300.0,205.87708,0.0
589.5,-300.0,208.2719,0.0
593.0,-300.0,210.69135,0.0
596.5,-300.0,213.1355,0.0
600.0,-300.0,215.60437,0.0
-100.0,-296.6666666666667,217.00385,0.0
-96.5,-296.6666666666667,214.47534,0.0
-93.0,-296.6666666666667,211.97275,0.0
-89.5,-296.6666666666667,209.49588,0.0
-86.0,-296.6666666666667,207.04488,0.0
-82.5,-296.6666666666667,204.6196,0.0
-79.0,-296.6666666666667,202.22015,0.0
-75.5,-296.6666666666667,199.84634,0.0
-72.0,-296.6666666666667,197.49837,0.0
-68.5,-296.6666666666667,195.17609,0.0
-65.0,-296.6666666666667,192.8796,0.0
-61.5,-296.6666666666667,190.60873,0.0
-58.0,-296.6666666666667,188.36356,0.0
-54.5,-296.6666666666667,186.14407,0.0
-51.0,-296.6666666666667,183.95027,0.0
-47.5,-296.6666666666667,181.78214,0.0
-44.0,-296.6666666666667,179.63956,0.0
-40.5,-296.6666666666667,177.52261,0.0
-37.0,-296.6666666666667,175.43134,0.0
-33.5,-296.6666666666667,173.36562,0.0
-30.0,-296.6666666666667,171.32553,0.0
-26.5,-296.6666666666667,169.31105,0.0
-23.0,-296.6666666666667,167.32214,0.0
-19.5,-296.6666666666667,165.3588,0.0
-16.0,-296.6666666666667,163.42102,0.0
-12.5,-296.6666666666667,161.50876,0.0
-9.0,-296.6666666666667,159.62207,0.0
-5.5,-296.6666666666667,157.76086,0.0
-2.0,-296.6666666666667,155.92523,0.0
1.5,-296.6666666666667,154.11508,0.0
5.0,-296.6666666666667,152.33047,0.0
8.5,-296.6666666666667,150.57129,0.0
12.0,-296.6666666666667,148.83763,0.0
15.5,-296.6666666666667,147.12946,0.0
19.0,-296.6666666666667,145.44667,0.0
22.5,-296.6666666666667,143.78941,0.0
26.0,-296.6666666666667,142.1576,0.0
29.5,-296.6666666666667,140.55121,0.0
33.0,-296.6666666666667,138.9703,0.0
36.5,-296.6666666666667,137.4148,0.0
40.0,-296.6666666666667,135.8847,0.0
43.5,-296.6666666666667,134.37999,0.0
47.0,-296.6666666666667,132.90073,0.0
50.5,-296.6666666666667,131.44682,0.0
54.0,-296.6666666666667,130.01831,0.0
57.5,-296.6666666666667,128.61517,0.0
61.0,-296.6666666666667,127.237495,0.0
64.5,-296.6666666666667,125.88519,0.0
68.0,-296.6666666666667,124.55826,0.0
71.5,-296.6666666666667,123.256584,0.0
75.0,-296.6666666666667,121.98033,0.0
78.5,-296.6666666666667,120.72942,0.0
82.0,-296.6666666666667,119.503815,0.0
85.5,-296.6666666666667,118.303535,0.0
89.0,-296.6666666666667,117.12864,0.0
92.5,-296.6666666666667,115.979095,0.0
96.0,-296.6666666666667,114.85488,0.0
99.5,-296.6666666666667,113.75597,0.0
103.0,-296.6666666666667,112.68239,0.0
106.5,-296.6666666666667,111.63409,0.0
110.0,-296.6666666666667,110.61105,0.0
113.5,-296.6666666666667,109.613335,0.0
117.0,-296.6666666666667,108.64093,0.0
120.5,-296.6666666666667,107.6938,0.0
124.0,-296.6666666666667,106.77193,0.0
127.5,-296.6666666666667,105.875404,0.0
131.0,-296.6666666666667,105.004105,0.0
134.5,-296.6666666666667,104.15808,0.0
138.0,-296.6666666666667,103.33736,0.0
141.5,-296.6666666666667,102.541885,0.0
145.0,-296.6666666666667,101.77167,0.0
148.5,-296.6666666666667,101.0267,0.0
152.0,-296.6666666666667,100.30701,0.0
155.5,-296.6666666666667,99.612564,0.0
159.0,-296.6666666666667,98.94335,0.0
162.5,-296.6666666666667,98.29943,0.0
166.0,-296.6666666666667,97.6807,0.0
169.5,-296.6666666666667,97.08725,0.0
173.0,-296.6666666666667,96.51901,0.0
176.5,-296.6666666666667,95.976006,0.0
180.0,-296.6666666666667,95.45824,0.0
183.5,-296.6666666666667,94.96568,0.0
187.0,-296.6666666666667,94.49835,0.0
190.5,-296.6666666666667,94.05624,0.0
194.0,-296.6666666666667,93.63937,0.0
197.5,-296.6666666666667,93.247696,0.0
201.0,-296.6666666666667,92.88124,0.0
204.5,-296.6666666666667,92.54003,0.0
208.0,-296.6666666666667,92.224014,0.0
211.5,-296.6666666666667,91.933205,0.0
215.0,-296.6666666666667,91.66758,0.0
218.5,-296.6666666666667,91.4272,0.0
222.0,-296.6666666666667,91.21199,0.0
225.5,-296.6666666666667,91.022,0.0
229.0,-296.6666666666667,90.85719,0.0
232.5,-296.6666666666667,90.717606,0.0
236.0,-296.6666666666667,90.603195,0.0
239.5,-296.6666666666667,90.51397,0.0
243.0,-296.6666666666667,90.44997,0.0
246.5,-296.6666666666667,90.41115,0.0
250.0,-296.6666666666667,90.39751,0.0
253.5,-296.6666666666667,90.409035,0.0
257.0,-296.6666666666667,90.44578,0.0
260.5,-296.6666666666667,90.5077,0.0
264.0,-296.6666666666667,90.5948,0.0
267.5,-296.6666666666667,90.70708,0.0
