step,model,boundary_scaled,mean_m2,right_m2,left_m2
0,0,False,554.2273559570312,554.2393798828125,554.21533203125
0,1,False,551.5083923339844,551.4832763671875,551.5335083007812
0,2,True,509.62237548828125,509.53741455078125,509.70733642578125
0,3,True,509.6284637451172,509.5429992675781,509.71392822265625
300,0,False,514.9321594238281,514.9766235351562,514.8876953125
300,1,False,514.8716735839844,514.7467651367188,514.99658203125
300,2,True,503.36181640625,503.2969970703125,503.4266357421875
300,3,True,503.3339080810547,503.26953125,503.3982849121094
600,0,False,507.6629180908203,507.6665344238281,507.6593017578125
600,1,False,508.0581817626953,507.8892517089844,508.22711181640625
600,2,True,503.55125427246094,503.4878234863281,503.61468505859375
600,3,True,503.51373291015625,503.45489501953125,503.57257080078125
900,0,False,506.6079559326172,506.5753479003906,506.64056396484375
900,1,False,506.26609802246094,506.2357482910156,506.29644775390625
900,2,True,503.2601776123047,503.20367431640625,503.3166809082031
900,3,True,503.22047424316406,503.1641540527344,503.27679443359375
1200,0,False,504.6736755371094,504.60040283203125,504.7469482421875
1200,1,False,504.5000762939453,504.45904541015625,504.5411071777344
1200,2,True,503.22398376464844,503.16387939453125,503.2840881347656
1200,3,True,503.1634216308594,503.1005859375,503.22625732421875
1500,0,False,504.44293212890625,504.37457275390625,504.51129150390625
1500,1,False,504.2377166748047,504.1897888183594,504.28564453125
1500,2,True,503.17198181152344,503.1124572753906,503.23150634765625
1500,3,True,503.0831604003906,503.0274963378906,503.1388244628906
1800,0,False,504.1899108886719,504.1219177246094,504.2579040527344
1800,1,False,504.02330017089844,503.9613342285156,504.08526611328125
1800,2,True,503.1825256347656,503.1167907714844,503.2482604980469
1800,3,True,503.1058349609375,503.04241943359375,503.16925048828125
2100,0,False,504.259765625,504.2124938964844,504.3070373535156
2100,1,False,504.1721649169922,504.0841979980469,504.2601318359375
2100,2,True,503.05633544921875,502.9947509765625,503.117919921875
2100,3,True,503.0830383300781,503.0199890136719,503.1460876464844
2400,0,False,503.6044006347656,503.55340576171875,503.6553955078125
2400,1,False,503.56846618652344,503.48956298828125,503.6473693847656
2400,2,True,502.9349670410156,502.8728942871094,502.9970397949219
2400,3,True,502.92047119140625,502.8629150390625,502.97802734375
2700,0,False,503.5964660644531,503.5474548339844,503.6454772949219
2700,1,False,503.5509796142578,503.47088623046875,503.6310729980469
2700,2,True,502.90647888183594,502.8475646972656,502.96539306640625
2700,3,True,502.88299560546875,502.82366943359375,502.94232177734375
3000,0,False,503.4591064453125,503.4068908691406,503.5113220214844
3000,1,False,503.41014099121094,503.3300476074219,503.490234375
3000,2,True,502.88291931152344,502.8259582519531,502.93988037109375
3000,3,True,502.86924743652344,502.81298828125,502.9255065917969
3300,0,False,503.3935089111328,503.33990478515625,503.4471130371094
3300,1,False,503.3381042480469,503.2525939941406,503.4236145019531
3300,2,True,502.88706970214844,502.8300476074219,502.944091796875
3300,3,True,502.86395263671875,502.8045349121094,502.9233703613281
3600,0,False,503.3872985839844,503.3313903808594,503.4432067871094
3600,1,False,503.34381103515625,503.26654052734375,503.42108154296875
3600,2,True,502.8719177246094,502.8175354003906,502.9263000488281
3600,3,True,502.83372497558594,502.7762145996094,502.8912353515625
3900,0,False,503.3894805908203,503.3403015136719,503.43865966796875
3900,1,False,503.31785583496094,503.24072265625,503.3949890136719
3900,2,True,502.88771057128906,502.83001708984375,502.9454040527344
3900,3,True,502.83795166015625,502.78045654296875,502.89544677734375
4200,0,False,503.3223571777344,503.2689514160156,503.3757629394531
4200,1,False,503.2652282714844,503.18927001953125,503.3411865234375
4200,2,True,502.8523864746094,502.79718017578125,502.9075927734375
4200,3,True,502.82765197753906,502.77001953125,502.8852844238281
4500,0,False,503.6844177246094,503.6380920410156,503.7307434082031
4500,1,False,503.6266174316406,503.5502014160156,503.7030334472656
4500,2,True,502.88623046875,502.826904296875,502.945556640625
4500,3,True,502.84742736816406,502.7874450683594,502.90740966796875
4800,0,False,503.31044006347656,503.2543029785156,503.3665771484375
4800,1,False,503.2458190917969,503.1707458496094,503.3208923339844
4800,2,True,502.8369140625,502.7801513671875,502.8936767578125
4800,3,True,502.8059997558594,502.7464599609375,502.86553955078125
5100,0,False,503.2877655029297,503.23016357421875,503.3453674316406
5100,1,False,503.2251434326172,503.1504821777344,503.2998046875
5100,2,True,502.8268585205078,502.7681884765625,502.8855285644531
5100,3,True,502.79481506347656,502.73480224609375,502.8548278808594
5400,0,False,503.2637481689453,503.2048645019531,503.3226318359375
5400,1,False,503.2032775878906,503.12615966796875,503.2803955078125
5400,2,True,502.81959533691406,502.7630310058594,502.87615966796875
5400,3,True,502.78822326660156,502.7294921875,502.8469543457031
5700,0,False,503.2607116699219,503.2024230957031,503.3190002441406
5700,1,False,503.2008514404297,503.1251220703125,503.2765808105469
5700,2,True,502.81927490234375,502.7623291015625,502.876220703125
5700,3,True,502.7867889404297,502.7275085449219,502.8460693359375
6000,0,False,503.2696228027344,503.20947265625,503.32977294921875
6000,1,False,503.20875549316406,503.1302185058594,503.28729248046875
6000,2,True,502.8226776123047,502.7648010253906,502.88055419921875
6000,3,True,502.79112243652344,502.7313232421875,502.8509216308594
