step,model,mean_area_m2,no_signal,elapsed_s
0,0,631.3087768554688,0.0,4.079809099996055
0,1,639.9931640625,0.0,4.136708799996995
0,2,629.4901733398438,0.0,4.186958699996467
0,3,623.95703125,0.0,4.235785799995938
300,0,513.7389526367188,5.889555723115336e-07,7.797808899995289
300,1,513.9861450195312,2.436187060084194e-06,7.849377499995171
300,2,513.9799194335938,2.6632105800672434e-06,7.895968799995899
300,3,515.2210083007812,3.46914202964399e-06,7.9434878999963985
600,0,506.10321044921875,2.04010530069354e-06,11.281123199994909
600,1,508.3299255371094,7.976839697221294e-06,11.327573899994604
600,2,509.9178466796875,4.058555987285217e-06,11.372664899994561
600,3,508.43377685546875,3.842979822366033e-06,11.421835900000588
900,0,505.5378723144531,5.4467786867462564e-06,14.812515499994333
900,1,506.1917724609375,6.660162853222573e-06,14.862519199996314
900,2,507.852783203125,1.108575270336587e-05,14.90939389999403
900,3,506.65185546875,6.228358415683033e-06,14.955318899999838
1200,0,504.70330810546875,1.1376564543752465e-06,18.350475899998855
1200,1,504.943359375,3.910625764547149e-06,18.40256419999787
1200,2,505.9586181640625,1.4778370314161293e-06,18.449868999996397
1200,3,506.2078857421875,6.421195394068491e-06,18.50067069999932
1500,0,504.0553283691406,5.828696885146201e-07,22.005626599995594
1500,1,504.1166687011719,2.2864901438879315e-06,22.052156499994453
1500,2,504.6488037109375,2.492861767677823e-06,22.098774899997807
1500,3,505.6845397949219,5.7979086705017835e-06,22.1498655999967
1800,0,504.15081787109375,2.6145889933104627e-06,25.63862379999773
1800,1,503.4737548828125,2.4190971998905297e-06,25.69190339999477
1800,2,504.7198791503906,4.119349341635825e-06,25.748197799999616
1800,3,505.3529968261719,5.85087809668039e-06,25.797632399997383
2100,0,503.8509521484375,2.5601570996514056e-06,29.539907200000016
2100,1,503.0858459472656,1.4633487808168866e-06,29.59474059999775
2100,2,504.3927917480469,3.756881142180646e-06,29.651334499998484
2100,3,504.85467529296875,3.026138529094169e-06,29.716318099999626
2400,0,503.9391784667969,2.1192313397477847e-06,34.39965769999981
2400,1,502.965576171875,1.4638644643127918e-06,34.45722919999389
2400,2,504.17254638671875,2.3533339117420837e-06,34.51463299999887
2400,3,504.224365234375,1.6634503481327556e-06,34.57412559999648
2700,0,503.66937255859375,6.268419383559376e-08,38.76422949999687
2700,1,503.01519775390625,0.0,38.83860519999871
2700,2,503.6395263671875,9.165919436782133e-07,38.894830999997794
2700,3,504.07745361328125,3.2133766580955125e-07,38.96397569999681
3000,0,503.4946594238281,1.299849827773869e-08,43.043686599994544
3000,1,502.94970703125,4.993535185349174e-08,43.110021299995424
3000,2,503.58380126953125,4.7258572521968745e-07,43.17759759999899
3000,3,504.08953857421875,4.428452484717127e-07,43.24655669999629
3300,0,503.0455322265625,5.552083166548982e-07,47.65861989999394
3300,1,502.5663146972656,5.365291144698858e-07,47.73125729999447
3300,2,503.07421875,6.265363481361419e-07,47.78585309999471
3300,3,503.8585205078125,1.8771097529679537e-06,47.853690500000084
3600,0,502.88153076171875,6.391978786268737e-07,52.312234699995315
3600,1,502.6399230957031,1.2821815289498772e-06,52.403757599997334
3600,2,502.89605712890625,9.299342309532221e-07,52.495057199994335
3600,3,503.720458984375,1.636132765270304e-06,52.572592599994096
3900,0,502.8062438964844,4.3734326027333736e-07,57.20794770000066
3900,1,502.5440673828125,6.667269190074876e-07,57.26471009999659
3900,2,502.813232421875,9.129848876909819e-07,57.324786599994695
3900,3,503.5609130859375,8.008414624782745e-07,57.380921600000875
4200,0,502.73077392578125,3.301711331005208e-07,61.78425259999494
4200,1,502.4878234863281,4.3417958295322023e-07,61.83798159999424
4200,2,502.73681640625,6.559985195053741e-07,61.8906932999962
4200,3,503.6217041015625,1.7424440557078924e-06,61.94655139999668
4500,0,502.78839111328125,3.10003542836057e-07,65.99022879999393
4500,1,502.603271484375,3.1848230719333515e-08,66.04025120000006
4500,2,502.68878173828125,6.672289600828663e-07,66.08828839999478
4500,3,503.58709716796875,4.7336880015791394e-07,66.14063989999704
4800,0,502.6399841308594,4.457810973690357e-07,69.90285179999773
4800,1,502.4638671875,3.119721441180445e-07,69.95478799999546
4800,2,502.6744384765625,5.85253019380616e-07,70.00781279999501
4800,3,503.5357971191406,1.4937577361706644e-06,70.06029929999931
5100,0,502.58837890625,4.39407358499011e-07,73.59607459999825
5100,1,502.41229248046875,2.4077507987385616e-07,73.64854779999587
5100,2,502.6349182128906,6.773407221771777e-07,73.69827359999908
5100,3,503.390380859375,7.981088856467977e-07,73.75009789999604
5400,0,502.58990478515625,6.402469807653688e-07,77.48078610000084
5400,1,502.39727783203125,3.933614607376512e-07,77.53114639999694
5400,2,502.6329650878906,8.272327249869704e-07,77.58649599999626
5400,3,503.37677001953125,9.911368579196278e-07,77.64297879999503
5700,0,502.5308837890625,3.1125864552450366e-07,81.43242439999449
5700,1,502.363525390625,4.489365892368369e-07,81.48672660000011
5700,2,502.5797119140625,6.160548764455598e-07,81.54175589999795
5700,3,503.3385314941406,1.0822818694578018e-06,81.59526659999392
6000,0,502.5323791503906,4.681587597588077e-07,85.15180580000015
6000,1,502.3804016113281,4.895800884696655e-07,85.20308500000101
6000,2,502.5897216796875,7.582716534670908e-07,85.25110280000081
6000,3,503.3355712890625,8.463593985652551e-07,85.29347489999782
